2016-07-15 12:48,194, Tag Name,Iteration,Minibatch Loss,Traning Accuracy,Elapsed Time,Testing Accuracy
2016-07-14 18:03,436, cnn_net_2_2_2_2,76800,2.682056,0.07812,0.00249,
2016-07-14 18:03,454, cnn_net_2_2_2_2,78080,2.988528,0.04688,0.00244,
2016-07-14 18:03,471, cnn_net_2_2_2_2,79360,2.96242,0.10156,0.00244,
2016-07-14 18:03,488, cnn_net_2_2_2_2,80640,2.363758,0.08594,0.00242,
2016-07-14 18:03,505, cnn_net_2_2_2_2,81920,3.235744,0.08594,0.00238,
2016-07-14 18:03,523, cnn_net_2_2_2_2,83200,2.731069,0.04688,0.00239,
2016-07-14 18:03,540, cnn_net_2_2_2_2,84480,2.367528,0.08594,0.00246,
2016-07-14 18:03,558, cnn_net_2_2_2_2,85760,2.510011,0.07812,0.00237,
2016-07-14 18:03,575, cnn_net_2_2_2_2,87040,2.521268,0.13281,0.00233,
2016-07-14 18:03,593, cnn_net_2_2_2_2,88320,2.403462,0.10938,0.0025,
2016-07-14 18:03,610, cnn_net_2_2_2_2,89600,2.595381,0.08594,0.00251,
2016-07-14 18:03,628, cnn_net_2_2_2_2,90880,2.860854,0.11719,0.00243,
2016-07-14 18:03,646, cnn_net_2_2_2_2,92160,2.659514,0.125,0.00342,
2016-07-14 18:03,664, cnn_net_2_2_2_2,93440,2.635392,0.11719,0.00246,
2016-07-14 18:03,682, cnn_net_2_2_2_2,94720,2.397429,0.13281,0.00236,
2016-07-14 18:03,699, cnn_net_2_2_2_2,96000,2.720652,0.08594,0.00237,
2016-07-14 18:03,717, cnn_net_2_2_2_2,97280,2.554182,0.10938,0.00245,
2016-07-14 18:03,736, cnn_net_2_2_2_2,98560,2.61097,0.07031,0.00228,
2016-07-14 18:03,754, cnn_net_2_2_2_2,99840,2.321679,0.0625,0.00261,
2016-07-14 18:03,772, cnn_net_2_2_2_2,101120,2.494497,0.07812,0.00265,
2016-07-14 18:03,789, cnn_net_2_2_2_2,102400,2.322448,0.09375,0.0024,
2016-07-14 18:03,807, cnn_net_2_2_2_2,103680,2.664473,0.0625,0.00245,
2016-07-14 18:03,824, cnn_net_2_2_2_2,104960,2.414907,0.04688,0.00234,
2016-07-14 18:03,841, cnn_net_2_2_2_2,106240,2.330292,0.08594,0.00233,
2016-07-14 18:03,859, cnn_net_2_2_2_2,107520,2.411019,0.0625,0.00229,
2016-07-14 18:03,876, cnn_net_2_2_2_2,108800,2.489739,0.08594,0.00239,
2016-07-14 18:03,181, cnn_net_2_2_2_2,110080,2.592481,0.07031,0.0025,
2016-07-14 18:03,198, cnn_net_2_2_2_2,111360,2.373472,0.14844,0.00238,
2016-07-14 18:03,216, cnn_net_2_2_2_2,112640,2.320497,0.07812,0.00244,
2016-07-14 18:03,234, cnn_net_2_2_2_2,113920,2.348402,0.14844,0.0024,
2016-07-14 18:03,251, cnn_net_2_2_2_2,115200,2.384011,0.11719,0.00246,
2016-07-14 18:03,269, cnn_net_2_2_2_2,116480,2.473383,0.09375,0.0024,
2016-07-14 18:03,286, cnn_net_2_2_2_2,117760,2.587683,0.07031,0.00239,
2016-07-14 18:03,304, cnn_net_2_2_2_2,119040,2.982861,0.10156,0.00238,
2016-07-14 18:03,321, cnn_net_2_2_2_2,120320,2.363322,0.08594,0.0024,
2016-07-14 18:03,338, cnn_net_2_2_2_2,121600,2.673895,0.08594,0.00249,
2016-07-14 18:03,355, cnn_net_2_2_2_2,122880,2.901367,0.13281,0.00247,
2016-07-14 18:03,373, cnn_net_2_2_2_2,124160,2.644136,0.04688,0.00238,
2016-07-14 18:03,390, cnn_net_2_2_2_2,125440,2.509744,0.09375,0.00244,
2016-07-14 18:03,408, cnn_net_2_2_2_2,126720,2.306827,0.09375,0.00233,
2016-07-14 18:03,425, cnn_net_2_2_2_2,128000,2.464082,0.11719,0.00239,
2016-07-14 18:03,443, cnn_net_2_2_2_2,129280,2.776762,0.10156,0.00237,
2016-07-14 18:03,460, cnn_net_2_2_2_2,130560,2.341305,0.10156,0.00242,
2016-07-14 18:03,478, cnn_net_2_2_2_2,131840,2.444836,0.10938,0.00244,
2016-07-14 18:03,495, cnn_net_2_2_2_2,133120,2.576663,0.07812,0.00252,
2016-07-14 18:03,514, cnn_net_2_2_2_2,134400,2.649951,0.04688,0.00231,
2016-07-14 18:03,532, cnn_net_2_2_2_2,135680,2.717868,0.0625,0.00248,
2016-07-14 18:03,550, cnn_net_2_2_2_2,136960,2.936327,0.10938,0.00253,
2016-07-14 18:03,567, cnn_net_2_2_2_2,138240,2.369349,0.10938,0.00233,
2016-07-14 18:03,585, cnn_net_2_2_2_2,139520,2.340461,0.07031,0.0025,
2016-07-14 18:03,602, cnn_net_2_2_2_2,140800,2.358387,0.11719,0.00253,
2016-07-14 18:03,619, cnn_net_2_2_2_2,142080,2.349187,0.10156,0.00249,
2016-07-14 18:03,637, cnn_net_2_2_2_2,143360,2.369807,0.14844,0.0024,
2016-07-14 18:03,654, cnn_net_2_2_2_2,144640,2.679025,0.07812,0.00255,
2016-07-14 18:03,672, cnn_net_2_2_2_2,145920,2.623926,0.09375,0.00236,
2016-07-14 18:03,689, cnn_net_2_2_2_2,147200,2.409057,0.10156,0.00236,
2016-07-14 18:03,707, cnn_net_2_2_2_2,148480,2.373968,0.10938,0.0025,
2016-07-14 18:03,724, cnn_net_2_2_2_2,149760,2.368443,0.0625,0.00247,
2016-07-14 18:03,743, cnn_net_2_2_2_2,151040,2.324687,0.0625,0.00262,
2016-07-14 18:03,760, cnn_net_2_2_2_2,152320,2.314357,0.15625,0.00235,
2016-07-14 18:03,778, cnn_net_2_2_2_2,153600,2.341997,0.13281,0.00238,
2016-07-14 18:03,795, cnn_net_2_2_2_2,154880,2.324304,0.09375,0.0024,
2016-07-14 18:03,812, cnn_net_2_2_2_2,156160,2.722126,0.13281,0.00254,
