,Date,msec,Setting,Step,Elapsed Time,Metric1,Metric2,Metric3,Param1,Param2,Param3,Param4,Best,Random Best 1,Random Best 2,Random Best 0,Random Best 3,Random Best 4,Random Best 5,Random Best 6,Random Best 7,Random Best 8,Random Best 9
27,2016-09-03 3:59,586,filter:2-conv1:1-conv2:4-fc:32-Momentum,1_epoch,0.279,85.09,,,2,1,4,32,90.61,97.33,97.67,98.13,97.84,97.52,97.7,97.68,97.91,97.64,97.08
28,2016-09-03 4:00,776,filter:2-conv1:1-conv2:4-fc:512-Momentum,1_epoch,0.149,90.14,,,2,1,4,512,90.61,97.33,97.67,98.13,97.84,97.52,97.7,97.68,97.91,97.64,97.08
29,2016-09-03 4:00,788,filter:2-conv1:1-conv2:8-fc:1-Momentum,1_epoch,0.144,25.55,,,2,1,8,1,90.61,97.33,97.67,98.13,97.84,97.52,97.7,97.68,97.91,97.64,97.13
30,2016-09-03 4:00,916,filter:2-conv1:1-conv2:8-fc:2-Momentum,1_epoch,0.208,18.24,,,2,1,8,2,90.61,97.33,97.67,98.13,97.84,97.52,97.7,97.68,97.91,97.64,97.13
31,2016-09-03 4:00,217,filter:2-conv1:1-conv2:4-fc:256-Momentum,1_epoch,0.326,92.4,,,2,1,4,256,92.4,97.33,97.67,98.13,97.84,97.52,97.7,97.68,97.91,97.64,97.13
32,2016-09-03 4:00,381,filter:2-conv1:1-conv2:8-fc:4-Momentum,1_epoch,0.138,28.94,,,2,1,8,4,92.4,97.33,97.67,98.13,97.84,97.52,97.7,97.68,97.91,97.64,97.31
33,2016-09-03 4:00,853,filter:2-conv1:1-conv2:8-fc:32-Momentum,1_epoch,0.122,87.12,,,2,1,8,32,92.4,97.33,97.67,98.13,97.84,97.52,97.7,97.68,97.91,97.64,97.31
34,2016-09-03 4:00,90,filter:2-conv1:1-conv2:8-fc:16-Momentum,1_epoch,0.232,86.5,,,2,1,8,16,92.4,97.33,97.67,98.13,97.84,97.52,97.7,97.68,97.91,97.64,97.31
35,2016-09-03 4:00,145,filter:2-conv1:1-conv2:8-fc:8-Momentum,1_epoch,0.241,35.32,,,2,1,8,8,92.4,97.33,97.67,98.13,97.84,98.05,97.7,97.68,97.91,97.64,97.31
36,2016-09-03 4:00,217,filter:2-conv1:1-conv2:8-fc:64-Momentum,1_epoch,0.142,89.99,,,2,1,8,64,92.4,97.33,97.67,98.13,97.84,98.05,97.7,97.68,97.91,97.64,97.31
37,2016-09-03 4:00,445,filter:2-conv1:1-conv2:8-fc:256-Momentum,1_epoch,0.237,91.98,,,2,1,8,256,92.4,97.33,97.67,98.13,97.84,98.05,97.7,97.68,97.91,97.64,97.31
38,2016-09-03 4:00,464,filter:2-conv1:1-conv2:8-fc:512-Momentum,1_epoch,0.253,90.89,,,2,1,8,512,92.4,97.33,97.67,98.13,97.84,98.05,97.7,97.68,97.91,97.64,97.31
39,2016-09-03 4:00,574,filter:2-conv1:1-conv2:8-fc:128-Momentum,1_epoch,0.274,93.0,,,2,1,8,128,93.0,97.33,97.67,98.13,97.84,98.05,97.7,97.68,97.91,97.64,97.31
40,2016-09-03 4:00,741,filter:2-conv1:1-conv2:16-fc:1-Momentum,1_epoch,0.142,10.28,,,2,1,16,1,93.0,97.33,97.67,98.13,97.84,98.05,97.7,97.68,97.91,97.64,97.31
41,2016-09-03 4:00,847,filter:2-conv1:1-conv2:16-fc:4-Momentum,1_epoch,0.191,27.94,,,2,1,16,4,93.0,97.33,97.67,98.13,97.84,98.05,97.7,97.68,97.91,97.64,97.31
42,2016-09-03 4:00,948,filter:2-conv1:1-conv2:16-fc:8-Momentum,1_epoch,0.255,80.27,,,2,1,16,8,93.0,97.33,97.67,98.13,97.84,98.05,97.7,97.68,97.91,97.64,97.31
43,2016-09-03 4:00,952,filter:2-conv1:1-conv2:16-fc:2-Momentum,1_epoch,0.245,23.61,,,2,1,16,2,93.0,97.33,97.67,98.13,97.84,98.05,97.7,97.68,97.91,97.64,97.31
44,2016-09-03 4:00,331,filter:2-conv1:1-conv2:16-fc:128-Momentum,1_epoch,0.151,91.54,,,2,1,16,128,93.0,97.33,97.67,98.13,97.84,98.05,97.7,97.68,97.91,97.64,97.31
45,2016-09-03 4:00,568,filter:2-conv1:1-conv2:16-fc:16-Momentum,1_epoch,0.252,85.15,,,2,1,16,16,93.0,97.33,97.67,98.13,97.84,98.05,97.7,97.68,97.91,97.64,97.31
