,Setting,Step,Param1,Param2,Param3,Param4,Elapsed Time,Metric1,Total Time,Best
0,filter:6-conv1:4-conv2:64-fc:4-Momentum,1_epoch,6,4,64,4,0.187,75.19,0.187,75.19
1,filter:8-conv1:256-conv2:16-fc:256-Momentum,1_epoch,8,256,16,256,1.0,95.53,1.187,95.53
2,filter:14-conv1:256-conv2:2-fc:2-Momentum,1_epoch,14,256,2,2,1.14,10.28,2.327,95.53
3,filter:14-conv1:2-conv2:512-fc:256-Momentum,1_epoch,14,2,512,256,0.691,23.26,3.018,95.53
4,filter:12-conv1:4-conv2:128-fc:64-Momentum,1_epoch,12,4,128,64,0.29,95.5,3.308,95.53
5,filter:4-conv1:256-conv2:2-fc:128-Momentum,1_epoch,4,256,2,128,0.686,92.55,3.994,95.53
6,filter:8-conv1:128-conv2:16-fc:32-Momentum,1_epoch,8,128,16,32,0.472,97.02,4.466,97.02
7,filter:14-conv1:16-conv2:16-fc:64-Momentum,1_epoch,14,16,16,64,0.236,96.13,4.702,97.02
8,filter:2-conv1:2-conv2:8-fc:2-Momentum,1_epoch,2,2,8,2,0.533,10.28,5.235,97.02
9,filter:12-conv1:16-conv2:64-fc:32-Momentum,1_epoch,12,16,64,32,0.27,96.27,5.505,97.02
10,filter:12-conv1:128-conv2:128-fc:2-Momentum,1_epoch,12,128,128,2,0.92,10.28,6.425,97.02
11,filter:14-conv1:128-conv2:8-fc:512-Momentum,1_epoch,14,128,8,512,0.64,10.28,7.065,97.02
12,filter:14-conv1:2-conv2:64-fc:4-Momentum,1_epoch,14,2,64,4,0.244,44.12,7.309,97.02
13,filter:8-conv1:256-conv2:512-fc:256-Momentum,1_epoch,8,256,512,256,3.31,10.28,10.619,97.02
14,filter:8-conv1:4-conv2:16-fc:64-Momentum,1_epoch,8,4,16,64,0.182,96.2,10.801,97.02
15,filter:6-conv1:16-conv2:64-fc:512-Momentum,1_epoch,6,16,64,512,0.339,98.1,11.14,98.1
16,filter:2-conv1:128-conv2:512-fc:128-Momentum,1_epoch,2,128,512,128,0.81,95.3,11.95,98.1
17,filter:8-conv1:32-conv2:1-fc:1-Momentum,1_epoch,8,32,1,1,0.225,28.13,12.175,98.1
18,filter:14-conv1:512-conv2:2-fc:64-Momentum,1_epoch,14,512,2,64,1.78,10.28,13.955,98.1
19,filter:8-conv1:2-conv2:1-fc:16-Momentum,1_epoch,8,2,1,16,0.247,86.81,14.202,98.1
20,filter:8-conv1:256-conv2:2-fc:32-Momentum,1_epoch,8,256,2,32,0.933,10.28,15.135,98.1
21,filter:2-conv1:8-conv2:1-fc:16-Momentum,1_epoch,2,8,1,16,0.195,75.85,15.33,98.1
22,filter:14-conv1:4-conv2:4-fc:1-Momentum,1_epoch,14,4,4,1,0.183,29.89,15.513,98.1
23,filter:2-conv1:256-conv2:256-fc:4-Momentum,1_epoch,2,256,256,4,0.968,10.28,16.481,98.1
24,filter:6-conv1:128-conv2:512-fc:8-Momentum,1_epoch,6,128,512,8,1.72,10.28,18.201,98.1
25,filter:8-conv1:128-conv2:4-fc:512-Momentum,1_epoch,8,128,4,512,0.453,10.28,18.654,98.1
26,filter:14-conv1:128-conv2:16-fc:256-Momentum,1_epoch,14,128,16,256,0.658,10.28,19.312,98.1
27,filter:12-conv1:1-conv2:256-fc:4-Momentum,1_epoch,12,1,256,4,0.394,10.28,19.706,98.1
28,filter:4-conv1:16-conv2:2-fc:1-Momentum,1_epoch,4,16,2,1,0.173,27.11,19.879,98.1
29,filter:6-conv1:2-conv2:16-fc:1-Momentum,1_epoch,6,2,16,1,0.317,24.1,20.196,98.1
