,Setting,Step,Param1,Param2,Param3,Param4,Elapsed Time,Metric1,Total Time,Best
0,filter:14-conv1:256-conv2:64-fc:2-Momentum,1_epoch,14,256,64,2,1.6,10.28,1.6,10.28
1,filter:2-conv1:32-conv2:512-fc:32-Momentum,1_epoch,2,32,512,32,0.556,93.97,2.156,93.97
2,filter:8-conv1:8-conv2:1-fc:2-Momentum,1_epoch,8,8,1,2,0.16,44.07,2.316,93.97
3,filter:8-conv1:128-conv2:256-fc:1-Momentum,1_epoch,8,128,256,1,1.05,10.28,3.366,93.97
4,filter:6-conv1:32-conv2:1-fc:8-Momentum,1_epoch,6,32,1,8,0.635,87.94,4.001,93.97
5,filter:6-conv1:64-conv2:256-fc:1-Momentum,1_epoch,6,64,256,1,0.672,10.28,4.673,93.97
6,filter:14-conv1:256-conv2:16-fc:2-Momentum,1_epoch,14,256,16,2,1.25,10.28,5.923,93.97
7,filter:14-conv1:128-conv2:16-fc:16-Momentum,1_epoch,14,128,16,16,0.652,93.3,6.575,93.97
8,filter:8-conv1:64-conv2:32-fc:64-Momentum,1_epoch,8,64,32,64,0.325,97.44,6.9,97.44
9,filter:6-conv1:8-conv2:2-fc:64-Momentum,1_epoch,6,8,2,64,0.273,94.83,7.173,97.44
10,filter:8-conv1:2-conv2:16-fc:1-Momentum,1_epoch,8,2,16,1,0.149,26.26,7.322,97.44
11,filter:14-conv1:1-conv2:8-fc:512-Momentum,1_epoch,14,1,8,512,0.178,93.95,7.5,97.44
12,filter:6-conv1:1-conv2:4-fc:2-Momentum,1_epoch,6,1,4,2,0.323,34.2,7.823,97.44
13,filter:2-conv1:256-conv2:8-fc:1-Momentum,1_epoch,2,256,8,1,0.677,23.1,8.5,97.44
14,filter:8-conv1:128-conv2:32-fc:64-Momentum,1_epoch,8,128,32,64,0.584,97.29,9.084,97.44
15,filter:4-conv1:256-conv2:1-fc:16-Momentum,1_epoch,4,256,1,16,0.784,90.76,9.868,97.44
16,filter:14-conv1:8-conv2:1-fc:128-Momentum,1_epoch,14,8,1,128,0.197,92.55,10.065,97.44
17,filter:8-conv1:128-conv2:4-fc:128-Momentum,1_epoch,8,128,4,128,0.471,10.28,10.536,97.44
18,filter:2-conv1:256-conv2:2-fc:512-Momentum,1_epoch,2,256,2,512,0.64,92.1,11.176,97.44
19,filter:4-conv1:1-conv2:4-fc:1-Momentum,1_epoch,4,1,4,1,0.228,22.03,11.404,97.44
20,filter:8-conv1:64-conv2:1-fc:2-Momentum,1_epoch,8,64,1,2,0.283,52.84,11.687,97.44
21,filter:2-conv1:8-conv2:32-fc:4-Momentum,1_epoch,2,8,32,4,0.265,78.49,11.952,97.44
