,Date,msec,Setting,Step,Elapsed Time,Metric1,Metric2,Metric3,Param1,Param2,Param3,Param4,Total Time,Best
42,2016-09-03 4:00,948,filter:2-conv1:1-conv2:16-fc:8-Momentum,1_epoch,0.255,80.27,,,2,1,16,8,9.093,93.0
43,2016-09-03 4:00,952,filter:2-conv1:1-conv2:16-fc:2-Momentum,1_epoch,0.245,23.61,,,2,1,16,2,9.338,93.0
44,2016-09-03 4:00,331,filter:2-conv1:1-conv2:16-fc:128-Momentum,1_epoch,0.151,91.54,,,2,1,16,128,9.489,93.0
45,2016-09-03 4:00,568,filter:2-conv1:1-conv2:16-fc:16-Momentum,1_epoch,0.252,85.15,,,2,1,16,16,9.741,93.0
46,2016-09-03 4:00,598,filter:2-conv1:1-conv2:16-fc:64-Momentum,1_epoch,0.242,91.9,,,2,1,16,64,9.983,93.0
47,2016-09-03 4:00,638,filter:2-conv1:1-conv2:16-fc:32-Momentum,1_epoch,0.279,89.72,,,2,1,16,32,10.262,93.0
48,2016-09-03 4:00,118,filter:2-conv1:1-conv2:32-fc:1-Momentum,1_epoch,0.152,25.72,,,2,1,32,1,10.414,93.0
49,2016-09-03 4:00,124,filter:2-conv1:1-conv2:16-fc:256-Momentum,1_epoch,0.154,93.85,,,2,1,16,256,10.568,93.85
50,2016-09-03 4:00,267,filter:2-conv1:1-conv2:32-fc:2-Momentum,1_epoch,0.206,33.07,,,2,1,32,2,10.774,93.85
51,2016-09-03 4:00,338,filter:2-conv1:1-conv2:16-fc:512-Momentum,1_epoch,0.249,92.81,,,2,1,16,512,11.023,93.85
52,2016-09-03 4:00,818,filter:2-conv1:1-conv2:32-fc:8-Momentum,1_epoch,0.164,74.89,,,2,1,32,8,11.187,93.85
53,2016-09-03 4:00,971,filter:2-conv1:1-conv2:32-fc:16-Momentum,1_epoch,0.223,87.56,,,2,1,32,16,11.41,93.85
54,2016-09-03 4:00,77,filter:2-conv1:1-conv2:32-fc:32-Momentum,1_epoch,0.302,90.74,,,2,1,32,32,11.712,93.85
55,2016-09-03 4:00,119,filter:2-conv1:1-conv2:32-fc:4-Momentum,1_epoch,0.317,54.92,,,2,1,32,4,12.029,93.85
56,2016-09-03 4:00,720,filter:2-conv1:1-conv2:32-fc:128-Momentum,1_epoch,0.157,94.11,,,2,1,32,128,12.186,94.11
57,2016-09-03 4:00,962,filter:2-conv1:1-conv2:32-fc:64-Momentum,1_epoch,0.255,92.83,,,2,1,32,64,12.441,94.11
58,2016-09-03 4:00,42,filter:2-conv1:1-conv2:32-fc:256-Momentum,1_epoch,0.255,94.1,,,2,1,32,256,12.696,94.11
59,2016-09-03 4:00,394,filter:2-conv1:1-conv2:32-fc:512-Momentum,1_epoch,0.43,93.46,,,2,1,32,512,13.126,94.11
60,2016-09-03 4:01,91,filter:2-conv1:1-conv2:64-fc:1-Momentum,1_epoch,0.179,10.28,,,2,1,64,1,13.305,94.11
61,2016-09-03 4:01,319,filter:2-conv1:1-conv2:64-fc:2-Momentum,1_epoch,0.268,10.28,,,2,1,64,2,13.573,94.11
62,2016-09-03 4:01,494,filter:2-conv1:1-conv2:64-fc:4-Momentum,1_epoch,0.344,10.28,,,2,1,64,4,13.917,94.11
63,2016-09-03 4:01,906,filter:2-conv1:1-conv2:64-fc:8-Momentum,1_epoch,0.467,61.48,,,2,1,64,8,14.384,94.11
64,2016-09-03 4:01,805,filter:2-conv1:1-conv2:64-fc:16-Momentum,1_epoch,0.174,84.03,,,2,1,64,16,14.558,94.11
65,2016-09-03 4:01,811,filter:2-conv1:1-conv2:64-fc:32-Momentum,1_epoch,0.174,92.03,,,2,1,64,32,14.732,94.11
66,2016-09-03 4:01,841,filter:2-conv1:1-conv2:64-fc:64-Momentum,1_epoch,0.157,92.32,,,2,1,64,64,14.889,94.11
67,2016-09-03 4:01,959,filter:2-conv1:1-conv2:64-fc:128-Momentum,1_epoch,0.255,94.05,,,2,1,64,128,15.144,94.11
68,2016-09-03 4:01,255,filter:2-conv1:1-conv2:64-fc:256-Momentum,1_epoch,0.182,94.94,,,2,1,64,256,15.326,94.94
69,2016-09-03 4:01,581,filter:2-conv1:1-conv2:128-fc:1-Momentum,1_epoch,0.244,10.28,,,2,1,128,1,15.57,94.94
70,2016-09-03 4:01,600,filter:2-conv1:1-conv2:128-fc:2-Momentum,1_epoch,0.213,10.28,,,2,1,128,2,15.783,94.94
71,2016-09-03 4:01,890,filter:2-conv1:1-conv2:64-fc:512-Momentum,1_epoch,0.356,94.13,,,2,1,64,512,16.139,94.94
72,2016-09-03 4:01,828,filter:2-conv1:1-conv2:128-fc:16-Momentum,1_epoch,0.201,10.28,,,2,1,128,16,16.34,94.94
73,2016-09-03 4:01,891,filter:2-conv1:1-conv2:128-fc:4-Momentum,1_epoch,0.213,10.28,,,2,1,128,4,16.553,94.94
74,2016-09-03 4:01,914,filter:2-conv1:1-conv2:128-fc:8-Momentum,1_epoch,0.227,10.28,,,2,1,128,8,16.78,94.94
75,2016-09-03 4:01,711,filter:2-conv1:1-conv2:128-fc:32-Momentum,1_epoch,0.691,88.31,,,2,1,128,32,17.471,94.94
76,2016-09-03 4:01,695,filter:2-conv1:1-conv2:128-fc:128-Momentum,1_epoch,0.194,92.72,,,2,1,128,128,17.665,94.94
77,2016-09-03 4:01,31,filter:2-conv1:1-conv2:128-fc:64-Momentum,1_epoch,0.232,92.36,,,2,1,128,64,17.897,94.94
78,2016-09-03 4:01,305,filter:2-conv1:1-conv2:128-fc:256-Momentum,1_epoch,0.284,93.2,,,2,1,128,256,18.181,94.94
79,2016-09-03 4:01,798,filter:2-conv1:1-conv2:128-fc:512-Momentum,1_epoch,0.223,94.0,,,2,1,128,512,18.404,94.94
80,2016-09-03 4:01,344,filter:2-conv1:1-conv2:256-fc:1-Momentum,1_epoch,0.23,10.28,,,2,1,256,1,18.634,94.94
81,2016-09-03 4:01,446,filter:2-conv1:1-conv2:256-fc:2-Momentum,1_epoch,0.267,10.28,,,2,1,256,2,18.901,94.94
82,2016-09-03 4:01,635,filter:2-conv1:1-conv2:256-fc:4-Momentum,1_epoch,0.36,42.87,,,2,1,256,4,19.261,94.94
83,2016-09-03 4:01,786,filter:2-conv1:1-conv2:256-fc:8-Momentum,1_epoch,0.494,10.28,,,2,1,256,8,19.755,94.94
84,2016-09-03 4:01,177,filter:2-conv1:1-conv2:256-fc:64-Momentum,1_epoch,0.228,10.28,,,2,1,256,64,19.983,94.94
85,2016-09-03 4:01,417,filter:2-conv1:1-conv2:256-fc:16-Momentum,1_epoch,0.323,69.12,,,2,1,256,16,20.306,94.94
86,2016-09-03 4:01,435,filter:2-conv1:1-conv2:256-fc:32-Momentum,1_epoch,0.321,91.7,,,2,1,256,32,20.627,94.94
87,2016-09-03 4:01,104,filter:2-conv1:1-conv2:256-fc:128-Momentum,1_epoch,0.686,93.96,,,2,1,256,128,21.313,94.94
88,2016-09-03 4:02,592,filter:2-conv1:1-conv2:256-fc:256-Momentum,1_epoch,0.266,94.8,,,2,1,256,256,21.579,94.94
89,2016-09-03 4:02,49,filter:2-conv1:1-conv2:512-fc:2-Momentum,1_epoch,0.346,10.28,,,2,1,512,2,21.925,94.94
90,2016-09-03 4:02,150,filter:2-conv1:1-conv2:512-fc:1-Momentum,1_epoch,0.324,10.28,,,2,1,512,1,22.249,94.94
91,2016-09-03 4:02,393,filter:2-conv1:1-conv2:256-fc:512-Momentum,1_epoch,0.439,10.28,,,2,1,256,512,22.688,94.94
92,2016-09-03 4:02,719,filter:2-conv1:1-conv2:512-fc:8-Momentum,1_epoch,0.32,10.28,,,2,1,512,8,23.008,94.94
