,Setting,Step,Param1,Param2,Param3,Param4,Elapsed Time,Metric1,Total Time,Best
0,filter:2-conv1:256-conv2:8-fc:512-Momentum,1_epoch,2,256,8,512,0.886,97.14,0.886,97.14
1,filter:6-conv1:1-conv2:4-fc:128-Momentum,1_epoch,6,1,4,128,0.143,93.82,1.029,97.14
2,filter:6-conv1:4-conv2:16-fc:256-Momentum,1_epoch,6,4,16,256,0.173,97.9,1.202,97.9
3,filter:14-conv1:2-conv2:128-fc:2-Momentum,1_epoch,14,2,128,2,0.289,10.28,1.491,97.9
4,filter:2-conv1:128-conv2:256-fc:128-Momentum,1_epoch,2,128,256,128,0.808,96.38,2.299,97.9
5,filter:14-conv1:2-conv2:1-fc:512-Momentum,1_epoch,14,2,1,512,0.176,94.27,2.475,97.9
6,filter:4-conv1:128-conv2:16-fc:16-Momentum,1_epoch,4,128,16,16,0.507,95.55,2.982,97.9
7,filter:14-conv1:1-conv2:256-fc:2-Momentum,1_epoch,14,1,256,2,0.342,10.28,3.324,97.9
8,filter:14-conv1:32-conv2:1-fc:128-Momentum,1_epoch,14,32,1,128,0.266,10.28,3.59,97.9
9,filter:6-conv1:8-conv2:512-fc:16-Momentum,1_epoch,6,8,512,16,0.602,93.8,4.192,97.9
10,filter:8-conv1:64-conv2:64-fc:8-Momentum,1_epoch,8,64,64,8,0.536,27.33,4.728,97.9
11,filter:12-conv1:2-conv2:4-fc:128-Momentum,1_epoch,12,2,4,128,0.178,95.23,4.906,97.9
12,filter:6-conv1:32-conv2:1-fc:2-Momentum,1_epoch,6,32,1,2,0.297,39.77,5.203,97.9
13,filter:8-conv1:8-conv2:512-fc:2-Momentum,1_epoch,8,8,512,2,0.602,10.28,5.805,97.9
14,filter:4-conv1:8-conv2:1-fc:64-Momentum,1_epoch,4,8,1,64,0.152,89.77,5.957,97.9
15,filter:4-conv1:1-conv2:512-fc:1-Momentum,1_epoch,4,1,512,1,0.311,20.73,6.268,97.9
16,filter:12-conv1:128-conv2:512-fc:32-Momentum,1_epoch,12,128,512,32,2.33,10.28,8.598,97.9
17,filter:8-conv1:32-conv2:64-fc:1-Momentum,1_epoch,8,32,64,1,0.393,10.28,8.991,97.9
18,filter:12-conv1:256-conv2:8-fc:16-Momentum,1_epoch,12,256,8,16,0.914,10.28,9.905,97.9
19,filter:8-conv1:4-conv2:128-fc:16-Momentum,1_epoch,8,4,128,16,0.224,94.95,10.129,97.9
20,filter:6-conv1:256-conv2:256-fc:128-Momentum,1_epoch,6,256,256,128,2.47,10.28,12.599,97.9
21,filter:2-conv1:16-conv2:1-fc:16-Momentum,1_epoch,2,16,1,16,0.164,81.13,12.763,97.9
22,filter:2-conv1:512-conv2:4-fc:256-Momentum,1_epoch,2,512,4,256,0.986,95.68,13.749,97.9
23,filter:2-conv1:256-conv2:4-fc:512-Momentum,1_epoch,2,256,4,512,0.54,91.27,14.289,97.9
24,filter:14-conv1:16-conv2:4-fc:64-Momentum,1_epoch,14,16,4,64,0.368,96.41,14.657,97.9
25,filter:6-conv1:128-conv2:2-fc:1-Momentum,1_epoch,6,128,2,1,0.415,25.02,15.072,97.9
26,filter:14-conv1:1-conv2:256-fc:32-Momentum,1_epoch,14,1,256,32,0.344,75.53,15.416,97.9
27,filter:2-conv1:64-conv2:32-fc:8-Momentum,1_epoch,2,64,32,8,0.352,89.78,15.768,97.9
28,filter:6-conv1:256-conv2:1-fc:32-Momentum,1_epoch,6,256,1,32,0.734,93.95,16.502,97.9
29,filter:12-conv1:512-conv2:16-fc:512-Momentum,1_epoch,12,512,16,512,1.94,10.1,18.442,97.9
30,filter:6-conv1:128-conv2:8-fc:256-Momentum,1_epoch,6,128,8,256,0.507,97.43,18.949,97.9
31,filter:8-conv1:4-conv2:1-fc:128-Momentum,1_epoch,8,4,1,128,0.161,95.48,19.11,97.9
