,Setting,Step,Param1,Param2,Param3,Param4,Elapsed Time,Metric1,Total Time,Best
54,filter:2-conv1:4-conv2:4-fc:512-Momentum,1_epoch,2,4,4,512,0.147,91.03,43.708,98.15
55,filter:8-conv1:16-conv2:512-fc:1-Momentum,1_epoch,8,16,512,1,0.714,10.28,44.422,98.15
56,filter:2-conv1:256-conv2:256-fc:1-Momentum,1_epoch,2,256,256,1,0.886,10.28,45.308,98.15
57,filter:12-conv1:256-conv2:32-fc:512-Momentum,1_epoch,12,256,32,512,1.29,10.28,46.598,98.15
58,filter:14-conv1:8-conv2:256-fc:4-Momentum,1_epoch,14,8,256,4,0.466,10.28,47.064,98.15
59,filter:14-conv1:64-conv2:512-fc:512-Momentum,1_epoch,14,64,512,512,1.94,9.8,49.004,98.15
60,filter:4-conv1:32-conv2:2-fc:2-Momentum,1_epoch,4,32,2,2,0.349,43.81,49.353,98.15
61,filter:14-conv1:1-conv2:512-fc:1-Momentum,1_epoch,14,1,512,1,0.479,10.28,49.832,98.15
62,filter:12-conv1:64-conv2:16-fc:256-Momentum,1_epoch,12,64,16,256,0.357,96.02,50.189,98.15
63,filter:8-conv1:32-conv2:128-fc:512-Momentum,1_epoch,8,32,128,512,0.393,97.82,50.582,98.15
64,filter:2-conv1:256-conv2:128-fc:2-Momentum,1_epoch,2,256,128,2,0.88,40.17,51.462,98.15
65,filter:2-conv1:64-conv2:16-fc:256-Momentum,1_epoch,2,64,16,256,0.271,95.73,51.733,98.15
66,filter:8-conv1:2-conv2:2-fc:512-Momentum,1_epoch,8,2,2,512,0.259,95.39,51.992,98.15
67,filter:8-conv1:2-conv2:4-fc:1-Momentum,1_epoch,8,2,4,1,0.213,27.7,52.205,98.15
68,filter:12-conv1:4-conv2:4-fc:1-Momentum,1_epoch,12,4,4,1,0.182,29.14,52.387,98.15
69,filter:12-conv1:32-conv2:512-fc:512-Momentum,1_epoch,12,32,512,512,1.15,88.41,53.537,98.15
70,filter:2-conv1:4-conv2:64-fc:64-Momentum,1_epoch,2,4,64,64,0.173,94.11,53.71,98.15
71,filter:4-conv1:8-conv2:512-fc:4-Momentum,1_epoch,4,8,512,4,0.43,10.28,54.14,98.15
72,filter:8-conv1:512-conv2:64-fc:256-Momentum,1_epoch,8,512,64,256,1.98,10.28,56.12,98.15
73,filter:12-conv1:8-conv2:64-fc:2-Momentum,1_epoch,12,8,64,2,0.346,10.28,56.466,98.15
74,filter:8-conv1:16-conv2:1-fc:512-Momentum,1_epoch,8,16,1,512,0.18,95.8,56.646,98.15
75,filter:8-conv1:8-conv2:1-fc:256-Momentum,1_epoch,8,8,1,256,0.201,94.83,56.847,98.15
76,filter:6-conv1:4-conv2:256-fc:512-Momentum,1_epoch,6,4,256,512,0.313,96.51,57.16,98.15
77,filter:12-conv1:128-conv2:64-fc:256-Momentum,1_epoch,12,128,64,256,0.723,10.28,57.883,98.15
78,filter:6-conv1:512-conv2:8-fc:512-Momentum,1_epoch,6,512,8,512,1.61,10.28,59.493,98.15
79,filter:12-conv1:16-conv2:16-fc:2-Momentum,1_epoch,12,16,16,2,0.236,10.28,59.729,98.15
80,filter:8-conv1:2-conv2:16-fc:8-Momentum,1_epoch,8,2,16,8,0.154,92.83,59.883,98.15
81,filter:8-conv1:512-conv2:32-fc:128-Momentum,1_epoch,8,512,32,128,1.71,96.28,61.593,98.15
82,filter:14-conv1:1-conv2:32-fc:256-Momentum,1_epoch,14,1,32,256,0.192,93.42,61.785,98.15
83,filter:6-conv1:128-conv2:512-fc:256-Momentum,1_epoch,6,128,512,256,1.85,37.75,63.635,98.15
84,filter:6-conv1:16-conv2:8-fc:4-Momentum,1_epoch,6,16,8,4,0.285,40.01,63.92,98.15
85,filter:8-conv1:2-conv2:1-fc:2-Momentum,1_epoch,8,2,1,2,0.136,36.36,64.056,98.15
86,filter:14-conv1:256-conv2:256-fc:4-Momentum,1_epoch,14,256,256,4,3.23,10.28,67.286,98.15
87,filter:6-conv1:64-conv2:64-fc:8-Momentum,1_epoch,6,64,64,8,0.497,10.28,67.783,98.15
88,filter:2-conv1:64-conv2:4-fc:128-Momentum,1_epoch,2,64,4,128,0.237,94.11,68.02,98.15
89,filter:14-conv1:64-conv2:32-fc:32-Momentum,1_epoch,14,64,32,32,0.458,93.14,68.478,98.15
90,filter:4-conv1:1-conv2:64-fc:1-Momentum,1_epoch,4,1,64,1,0.199,10.28,68.677,98.15
91,filter:8-conv1:128-conv2:4-fc:2-Momentum,1_epoch,8,128,4,2,0.512,46.58,69.189,98.15
92,filter:12-conv1:2-conv2:8-fc:64-Momentum,1_epoch,12,2,8,64,0.279,95.23,69.468,98.15
93,filter:6-conv1:32-conv2:2-fc:256-Momentum,1_epoch,6,32,2,256,0.211,10.58,69.679,98.15
94,filter:8-conv1:8-conv2:2-fc:128-Momentum,1_epoch,8,8,2,128,0.264,95.3,69.943,98.15
95,filter:12-conv1:64-conv2:16-fc:1-Momentum,1_epoch,12,64,16,1,0.45,10.28,70.393,98.15
96,filter:14-conv1:8-conv2:128-fc:2-Momentum,1_epoch,14,8,128,2,0.387,10.28,70.78,98.15
97,filter:2-conv1:8-conv2:128-fc:16-Momentum,1_epoch,2,8,128,16,0.253,92.23,71.033,98.15
98,filter:2-conv1:4-conv2:4-fc:256-Momentum,1_epoch,2,4,4,256,0.126,90.47,71.159,98.15
99,filter:2-conv1:8-conv2:64-fc:64-Momentum,1_epoch,2,8,64,64,0.359,94.13,71.518,98.15
100,filter:6-conv1:128-conv2:512-fc:8-Momentum,1_epoch,6,128,512,8,1.72,10.28,73.238,98.15
101,filter:4-conv1:2-conv2:512-fc:1-Momentum,1_epoch,4,2,512,1,0.396,10.28,73.634,98.15
102,filter:6-conv1:128-conv2:64-fc:8-Momentum,1_epoch,6,128,64,8,0.773,93.16,74.407,98.15
103,filter:6-conv1:8-conv2:1-fc:2-Momentum,1_epoch,6,8,1,2,0.18,43.75,74.587,98.15
104,filter:14-conv1:128-conv2:1-fc:8-Momentum,1_epoch,14,128,1,8,0.617,84.08,75.204,98.15
105,filter:6-conv1:128-conv2:8-fc:1-Momentum,1_epoch,6,128,8,1,0.433,23.84,75.637,98.15
106,filter:8-conv1:4-conv2:16-fc:4-Momentum,1_epoch,8,4,16,4,0.273,86.98,75.91,98.15
107,filter:12-conv1:2-conv2:8-fc:512-Momentum,1_epoch,12,2,8,512,0.306,95.41,76.216,98.15
108,filter:12-conv1:64-conv2:512-fc:32-Momentum,1_epoch,12,64,512,32,1.35,10.28,77.566,98.15
109,filter:12-conv1:64-conv2:32-fc:4-Momentum,1_epoch,12,64,32,4,0.378,10.28,77.944,98.15
110,filter:6-conv1:512-conv2:2-fc:4-Momentum,1_epoch,6,512,2,4,1.26,83.56,79.204,98.15
111,filter:6-conv1:32-conv2:512-fc:16-Momentum,1_epoch,6,32,512,16,0.916,51.44,80.12,98.15
112,filter:2-conv1:64-conv2:16-fc:512-Momentum,1_epoch,2,64,16,512,0.256,96.78,80.376,98.15
113,filter:14-conv1:512-conv2:32-fc:64-Momentum,1_epoch,14,512,32,64,2.33,10.28,82.706,98.15
114,filter:14-conv1:2-conv2:1-fc:256-Momentum,1_epoch,14,2,1,256,0.323,95.4,83.029,98.15
115,filter:2-conv1:16-conv2:8-fc:1-Momentum,1_epoch,2,16,8,1,0.162,27.98,83.191,98.15
116,filter:4-conv1:8-conv2:512-fc:1-Momentum,1_epoch,4,8,512,1,0.438,10.28,83.629,98.15
117,filter:12-conv1:256-conv2:2-fc:512-Momentum,1_epoch,12,256,2,512,0.915,10.28,84.544,98.15
118,filter:4-conv1:256-conv2:2-fc:32-Momentum,1_epoch,4,256,2,32,0.865,92.82,85.409,98.15
119,filter:14-conv1:32-conv2:4-fc:128-Momentum,1_epoch,14,32,4,128,0.267,96.51,85.676,98.15
120,filter:12-conv1:1-conv2:64-fc:128-Momentum,1_epoch,12,1,64,128,0.384,93.98,86.06,98.15
121,filter:4-conv1:8-conv2:1-fc:32-Momentum,1_epoch,4,8,1,32,0.258,86.7,86.318,98.15
122,filter:12-conv1:256-conv2:4-fc:256-Momentum,1_epoch,12,256,4,256,0.907,11.35,87.225,98.15
123,filter:14-conv1:1-conv2:512-fc:128-Momentum,1_epoch,14,1,512,128,0.578,21.94,87.803,98.15
124,filter:2-conv1:512-conv2:8-fc:16-Momentum,1_epoch,2,512,8,16,1.02,93.69,88.823,98.15
125,filter:4-conv1:1-conv2:2-fc:512-Momentum,1_epoch,4,1,2,512,0.264,91.82,89.087,98.15
126,filter:4-conv1:16-conv2:512-fc:16-Momentum,1_epoch,4,16,512,16,0.491,94.52,89.578,98.15
127,filter:14-conv1:256-conv2:16-fc:256-Momentum,1_epoch,14,256,16,256,1.11,10.28,90.688,98.15
128,filter:2-conv1:512-conv2:2-fc:128-Momentum,1_epoch,2,512,2,128,0.975,93.21,91.663,98.15
129,filter:12-conv1:256-conv2:512-fc:32-Momentum,1_epoch,12,256,512,32,4.57,10.28,96.233,98.15
130,filter:6-conv1:64-conv2:4-fc:512-Momentum,1_epoch,6,64,4,512,0.288,95.92,96.521,98.15
131,filter:4-conv1:4-conv2:8-fc:128-Momentum,1_epoch,4,4,8,128,0.17,96.86,96.691,98.15
132,filter:4-conv1:128-conv2:1-fc:8-Momentum,1_epoch,4,128,1,8,0.833,82.74,97.524,98.15
133,filter:8-conv1:1-conv2:32-fc:1-Momentum,1_epoch,8,1,32,1,0.156,23.33,97.68,98.15
134,filter:2-conv1:16-conv2:32-fc:256-Momentum,1_epoch,2,16,32,256,0.174,95.88,97.854,98.15
135,filter:2-conv1:2-conv2:8-fc:512-Momentum,1_epoch,2,2,8,512,0.262,10.28,98.116,98.15
136,filter:6-conv1:256-conv2:128-fc:8-Momentum,1_epoch,6,256,128,8,1.19,10.28,99.306,98.15
137,filter:6-conv1:16-conv2:2-fc:32-Momentum,1_epoch,6,16,2,32,0.196,95.59,99.502,98.15
138,filter:8-conv1:1-conv2:16-fc:8-Momentum,1_epoch,8,1,16,8,0.147,92.39,99.649,98.15
139,filter:2-conv1:256-conv2:16-fc:8-Momentum,1_epoch,2,256,16,8,0.684,90.49,100.333,98.15
140,filter:14-conv1:4-conv2:512-fc:4-Momentum,1_epoch,14,4,512,4,0.665,10.28,100.998,98.15
141,filter:12-conv1:4-conv2:16-fc:2-Momentum,1_epoch,12,4,16,2,0.237,35.93,101.235,98.15
142,filter:4-conv1:64-conv2:1-fc:2-Momentum,1_epoch,4,64,1,2,0.273,39.78,101.508,98.15
143,filter:4-conv1:32-conv2:512-fc:4-Momentum,1_epoch,4,32,512,4,0.637,10.28,102.145,98.15
144,filter:2-conv1:16-conv2:512-fc:64-Momentum,1_epoch,2,16,512,64,0.365,91.96,102.51,98.15
145,filter:6-conv1:4-conv2:128-fc:32-Momentum,1_epoch,6,4,128,32,0.21,97.21,102.72,98.15
146,filter:8-conv1:64-conv2:32-fc:512-Momentum,1_epoch,8,64,32,512,0.481,97.35,103.201,98.15
147,filter:2-conv1:2-conv2:256-fc:8-Momentum,1_epoch,2,2,256,8,0.378,10.28,103.579,98.15
148,filter:2-conv1:16-conv2:16-fc:2-Momentum,1_epoch,2,16,16,2,0.272,20.44,103.851,98.15
149,filter:14-conv1:32-conv2:2-fc:1-Momentum,1_epoch,14,32,2,1,0.426,29.22,104.277,98.15
150,filter:12-conv1:16-conv2:32-fc:64-Momentum,1_epoch,12,16,32,64,0.29,97.21,104.567,98.15
151,filter:4-conv1:8-conv2:256-fc:8-Momentum,1_epoch,4,8,256,8,0.566,87.22,105.133,98.15
152,filter:12-conv1:2-conv2:1-fc:2-Momentum,1_epoch,12,2,1,2,0.174,49.44,105.307,98.15
153,filter:4-conv1:1-conv2:1-fc:128-Momentum,1_epoch,4,1,1,128,0.543,85.68,105.85,98.15
154,filter:14-conv1:256-conv2:128-fc:512-Momentum,1_epoch,14,256,128,512,2.18,9.8,108.03,98.15
155,filter:6-conv1:256-conv2:16-fc:8-Momentum,1_epoch,6,256,16,8,1.21,86.31,109.24,98.15
156,filter:12-conv1:512-conv2:32-fc:1-Momentum,1_epoch,12,512,32,1,2.04,10.28,111.28,98.15
157,filter:8-conv1:128-conv2:1-fc:32-Momentum,1_epoch,8,128,1,32,0.626,94.84,111.906,98.15
158,filter:14-conv1:1-conv2:64-fc:256-Momentum,1_epoch,14,1,64,256,0.237,94.07,112.143,98.15
159,filter:12-conv1:1-conv2:1-fc:2-Momentum,1_epoch,12,1,1,2,0.258,39.45,112.401,98.15
160,filter:4-conv1:8-conv2:1-fc:4-Momentum,1_epoch,4,8,1,4,0.231,65.61,112.632,98.15
161,filter:4-conv1:2-conv2:4-fc:8-Momentum,1_epoch,4,2,4,8,0.39,83.61,113.022,98.15
162,filter:2-conv1:1-conv2:16-fc:16-Momentum,1_epoch,2,1,16,16,0.252,85.15,113.274,98.15
163,filter:6-conv1:128-conv2:2-fc:512-Momentum,1_epoch,6,128,2,512,0.455,10.28,113.729,98.15
164,filter:8-conv1:4-conv2:8-fc:256-Momentum,1_epoch,8,4,8,256,0.235,97.06,113.964,98.15
165,filter:14-conv1:4-conv2:128-fc:64-Momentum,1_epoch,14,4,128,64,0.316,94.43,114.28,98.15
166,filter:14-conv1:512-conv2:256-fc:64-Momentum,1_epoch,14,512,256,64,6.36,10.28,120.64,98.15
167,filter:2-conv1:64-conv2:2-fc:512-Momentum,1_epoch,2,64,2,512,0.351,94.66,120.991,98.15
168,filter:6-conv1:512-conv2:1-fc:64-Momentum,1_epoch,6,512,1,64,1.39,93.96,122.381,98.15
169,filter:2-conv1:256-conv2:64-fc:8-Momentum,1_epoch,2,256,64,8,1.05,92.18,123.431,98.15
170,filter:2-conv1:256-conv2:4-fc:512-Momentum,1_epoch,2,256,4,512,0.54,91.27,123.971,98.15
171,filter:12-conv1:64-conv2:512-fc:1-Momentum,1_epoch,12,64,512,1,1.47,10.28,125.441,98.15
172,filter:4-conv1:2-conv2:64-fc:64-Momentum,1_epoch,4,2,64,64,0.175,96.08,125.616,98.15
173,filter:2-conv1:256-conv2:2-fc:8-Momentum,1_epoch,2,256,2,8,0.535,83.49,126.151,98.15
174,filter:14-conv1:128-conv2:4-fc:8-Momentum,1_epoch,14,128,4,8,0.623,85.28,126.774,98.15
175,filter:2-conv1:512-conv2:2-fc:32-Momentum,1_epoch,2,512,2,32,1.01,93.54,127.784,98.15
176,filter:4-conv1:128-conv2:8-fc:4-Momentum,1_epoch,4,128,8,4,0.462,84.97,128.246,98.15
177,filter:8-conv1:512-conv2:256-fc:128-Momentum,1_epoch,8,512,256,128,3.58,10.28,131.826,98.15
178,filter:6-conv1:64-conv2:16-fc:512-Momentum,1_epoch,6,64,16,512,0.375,97.85,132.201,98.15
179,filter:2-conv1:32-conv2:256-fc:64-Momentum,1_epoch,2,32,256,64,0.376,95.12,132.577,98.15
180,filter:8-conv1:512-conv2:2-fc:4-Momentum,1_epoch,8,512,2,4,1.35,61.58,133.927,98.15
181,filter:12-conv1:256-conv2:32-fc:64-Momentum,1_epoch,12,256,32,64,1.27,10.28,135.197,98.15
182,filter:2-conv1:2-conv2:8-fc:32-Momentum,1_epoch,2,2,8,32,0.136,91.67,135.333,98.15
183,filter:6-conv1:2-conv2:256-fc:1-Momentum,1_epoch,6,2,256,1,0.35,25.35,135.683,98.15
184,filter:6-conv1:8-conv2:256-fc:256-Momentum,1_epoch,6,8,256,256,0.337,96.87,136.02,98.15
185,filter:8-conv1:16-conv2:2-fc:128-Momentum,1_epoch,8,16,2,128,0.357,95.12,136.377,98.15
186,filter:6-conv1:8-conv2:1-fc:64-Momentum,1_epoch,6,8,1,64,0.17,92.68,136.547,98.15
187,filter:4-conv1:2-conv2:2-fc:2-Momentum,1_epoch,4,2,2,2,0.149,35.59,136.696,98.15
188,filter:6-conv1:256-conv2:512-fc:16-Momentum,1_epoch,6,256,512,16,3.02,10.28,139.716,98.15
189,filter:6-conv1:4-conv2:8-fc:16-Momentum,1_epoch,6,4,8,16,0.154,94.61,139.87,98.15
190,filter:6-conv1:128-conv2:64-fc:256-Momentum,1_epoch,6,128,64,256,0.587,97.84,140.457,98.15
191,filter:8-conv1:512-conv2:128-fc:256-Momentum,1_epoch,8,512,128,256,2.41,10.28,142.867,98.15
192,filter:6-conv1:32-conv2:8-fc:64-Momentum,1_epoch,6,32,8,64,0.308,97.16,143.175,98.15
193,filter:14-conv1:128-conv2:256-fc:32-Momentum,1_epoch,14,128,256,32,1.78,10.28,144.955,98.15
194,filter:12-conv1:512-conv2:8-fc:16-Momentum,1_epoch,12,512,8,16,1.85,78.22,146.805,98.15
195,filter:4-conv1:128-conv2:1-fc:64-Momentum,1_epoch,4,128,1,64,0.387,93.22,147.192,98.15
196,filter:6-conv1:1-conv2:2-fc:1-Momentum,1_epoch,6,1,2,1,0.147,26.6,147.339,98.15
197,filter:4-conv1:64-conv2:16-fc:64-Momentum,1_epoch,4,64,16,64,0.329,97.09,147.668,98.15
198,filter:4-conv1:512-conv2:4-fc:16-Momentum,1_epoch,4,512,4,16,1.25,93.71,148.918,98.15
199,filter:8-conv1:1-conv2:1-fc:256-Momentum,1_epoch,8,1,1,256,0.246,91.04,149.164,98.15
200,filter:2-conv1:2-conv2:256-fc:128-Momentum,1_epoch,2,2,256,128,0.576,93.3,149.74,98.15
201,filter:8-conv1:16-conv2:2-fc:4-Momentum,1_epoch,8,16,2,4,0.304,79.91,150.044,98.15
202,filter:2-conv1:1-conv2:256-fc:64-Momentum,1_epoch,2,1,256,64,0.228,10.28,150.272,98.15
203,filter:4-conv1:8-conv2:64-fc:8-Momentum,1_epoch,4,8,64,8,0.264,95.28,150.536,98.15
204,filter:2-conv1:1-conv2:128-fc:4-Momentum,1_epoch,2,1,128,4,0.213,10.28,150.749,98.15
205,filter:2-conv1:8-conv2:16-fc:2-Momentum,1_epoch,2,8,16,2,0.166,22.96,150.915,98.15
206,filter:12-conv1:64-conv2:256-fc:64-Momentum,1_epoch,12,64,256,64,0.833,10.28,151.748,98.15
207,filter:6-conv1:64-conv2:32-fc:512-Momentum,1_epoch,6,64,32,512,0.792,97.94,152.54,98.15
208,filter:14-conv1:32-conv2:128-fc:8-Momentum,1_epoch,14,32,128,8,0.46,10.28,153.0,98.15
209,filter:2-conv1:64-conv2:8-fc:128-Momentum,1_epoch,2,64,8,128,0.328,94.54,153.328,98.15
210,filter:2-conv1:32-conv2:128-fc:16-Momentum,1_epoch,2,32,128,16,0.419,88.89,153.747,98.15
211,filter:4-conv1:1-conv2:256-fc:512-Momentum,1_epoch,4,1,256,512,0.277,10.28,154.024,98.15
212,filter:4-conv1:32-conv2:8-fc:128-Momentum,1_epoch,4,32,8,128,0.302,96.64,154.326,98.15
213,filter:8-conv1:128-conv2:64-fc:2-Momentum,1_epoch,8,128,64,2,0.65,10.28,154.976,98.15
214,filter:14-conv1:16-conv2:64-fc:32-Momentum,1_epoch,14,16,64,32,0.289,95.39,155.265,98.15
215,filter:8-conv1:16-conv2:8-fc:8-Momentum,1_epoch,8,16,8,8,0.178,95.52,155.443,98.15
216,filter:2-conv1:128-conv2:256-fc:1-Momentum,1_epoch,2,128,256,1,0.628,10.28,156.071,98.15
217,filter:14-conv1:256-conv2:256-fc:32-Momentum,1_epoch,14,256,256,32,3.2,10.28,159.271,98.15
218,filter:6-conv1:512-conv2:512-fc:4-Momentum,1_epoch,6,512,512,4,5.75,10.28,165.021,98.15
219,filter:14-conv1:8-conv2:64-fc:1-Momentum,1_epoch,14,8,64,1,0.461,10.28,165.482,98.15
220,filter:4-conv1:128-conv2:128-fc:8-Momentum,1_epoch,4,128,128,8,0.663,91.01,166.145,98.15
221,filter:14-conv1:32-conv2:4-fc:2-Momentum,1_epoch,14,32,4,2,0.258,52.65,166.403,98.15
222,filter:6-conv1:4-conv2:1-fc:32-Momentum,1_epoch,6,4,1,32,0.148,90.74,166.551,98.15
223,filter:8-conv1:64-conv2:512-fc:256-Momentum,1_epoch,8,64,512,256,1.39,58.21,167.941,98.15
224,filter:2-conv1:32-conv2:256-fc:512-Momentum,1_epoch,2,32,256,512,0.339,96.38,168.28,98.15
225,filter:12-conv1:64-conv2:32-fc:32-Momentum,1_epoch,12,64,32,32,0.468,93.23,168.748,98.15
226,filter:8-conv1:32-conv2:2-fc:8-Momentum,1_epoch,8,32,2,8,0.309,91.56,169.057,98.15
227,filter:2-conv1:512-conv2:4-fc:16-Momentum,1_epoch,2,512,4,16,1.03,91.41,170.087,98.15
228,filter:14-conv1:128-conv2:16-fc:64-Momentum,1_epoch,14,128,16,64,0.782,93.69,170.869,98.15
229,filter:6-conv1:64-conv2:32-fc:8-Momentum,1_epoch,6,64,32,8,0.325,92.38,171.194,98.15
230,filter:8-conv1:64-conv2:2-fc:256-Momentum,1_epoch,8,64,2,256,0.361,10.28,171.555,98.15
231,filter:4-conv1:1-conv2:32-fc:1-Momentum,1_epoch,4,1,32,1,0.155,10.28,171.71,98.15
232,filter:4-conv1:32-conv2:64-fc:2-Momentum,1_epoch,4,32,64,2,0.253,10.28,171.963,98.15
233,filter:6-conv1:8-conv2:8-fc:2-Momentum,1_epoch,6,8,8,2,0.274,45.59,172.237,98.15
234,filter:2-conv1:64-conv2:64-fc:128-Momentum,1_epoch,2,64,64,128,0.289,95.72,172.526,98.15
