,Setting,Step,Param1,Param2,Param3,Param4,Elapsed Time,Metric1,Total Time,Best
0,filter:12-conv1:1-conv2:4-fc:128-Momentum,1_epoch,12,1,4,128,0.173,94.03,0.173,94.03
1,filter:6-conv1:512-conv2:64-fc:16-Momentum,1_epoch,6,512,64,16,1.66,10.28,1.833,94.03
2,filter:4-conv1:32-conv2:256-fc:4-Momentum,1_epoch,4,32,256,4,0.467,10.28,2.3,94.03
3,filter:6-conv1:32-conv2:2-fc:512-Momentum,1_epoch,6,32,2,512,0.365,10.28,2.665,94.03
4,filter:2-conv1:16-conv2:256-fc:512-Momentum,1_epoch,2,16,256,512,0.345,95.69,3.01,95.69
5,filter:4-conv1:128-conv2:32-fc:2-Momentum,1_epoch,4,128,32,2,0.877,25.59,3.887,95.69
6,filter:6-conv1:16-conv2:32-fc:1-Momentum,1_epoch,6,16,32,1,0.298,10.28,4.185,95.69
7,filter:12-conv1:32-conv2:512-fc:16-Momentum,1_epoch,12,32,512,16,1.01,10.28,5.195,95.69
8,filter:6-conv1:4-conv2:16-fc:64-Momentum,1_epoch,6,4,16,64,0.235,96.79,5.43,96.79
9,filter:2-conv1:8-conv2:512-fc:8-Momentum,1_epoch,2,8,512,8,0.323,10.28,5.753,96.79
10,filter:2-conv1:64-conv2:1-fc:2-Momentum,1_epoch,2,64,1,2,0.233,39.05,5.986,96.79
11,filter:8-conv1:8-conv2:16-fc:256-Momentum,1_epoch,8,8,16,256,0.227,97.38,6.213,97.38
12,filter:2-conv1:8-conv2:64-fc:2-Momentum,1_epoch,2,8,64,2,0.265,10.28,6.478,97.38
13,filter:8-conv1:512-conv2:1-fc:64-Momentum,1_epoch,8,512,1,64,1.3,93.43,7.778,97.38
14,filter:2-conv1:256-conv2:4-fc:128-Momentum,1_epoch,2,256,4,128,1.11,94.62,8.888,97.38
15,filter:8-conv1:4-conv2:256-fc:32-Momentum,1_epoch,8,4,256,32,0.369,95.71,9.257,97.38
16,filter:8-conv1:32-conv2:64-fc:4-Momentum,1_epoch,8,32,64,4,0.288,48.08,9.545,97.38
17,filter:2-conv1:8-conv2:64-fc:4-Momentum,1_epoch,2,8,64,4,0.19,10.28,9.735,97.38
18,filter:14-conv1:512-conv2:16-fc:16-Momentum,1_epoch,14,512,16,16,1.97,10.28,11.705,97.38
19,filter:12-conv1:128-conv2:32-fc:64-Momentum,1_epoch,12,128,32,64,0.607,95.55,12.312,97.38
20,filter:12-conv1:8-conv2:16-fc:8-Momentum,1_epoch,12,8,16,8,0.201,91.55,12.513,97.38
21,filter:14-conv1:256-conv2:32-fc:1-Momentum,1_epoch,14,256,32,1,1.42,10.28,13.933,97.38
22,filter:8-conv1:512-conv2:64-fc:128-Momentum,1_epoch,8,512,64,128,1.92,10.28,15.853,97.38
23,filter:14-conv1:32-conv2:4-fc:32-Momentum,1_epoch,14,32,4,32,0.255,95.44,16.108,97.38
24,filter:12-conv1:512-conv2:512-fc:64-Momentum,1_epoch,12,512,512,64,9.91,10.28,26.018,97.38
25,filter:2-conv1:2-conv2:1-fc:256-Momentum,1_epoch,2,2,1,256,0.186,88.75,26.204,97.38
26,filter:12-conv1:512-conv2:8-fc:64-Momentum,1_epoch,12,512,8,64,1.76,10.28,27.964,97.38
27,filter:6-conv1:1-conv2:256-fc:128-Momentum,1_epoch,6,1,256,128,0.51,94.96,28.474,97.38
28,filter:8-conv1:64-conv2:2-fc:64-Momentum,1_epoch,8,64,2,64,0.373,95.75,28.847,97.38
29,filter:2-conv1:512-conv2:1-fc:512-Momentum,1_epoch,2,512,1,512,0.985,91.74,29.832,97.38
30,filter:6-conv1:4-conv2:64-fc:2-Momentum,1_epoch,6,4,64,2,0.186,48.23,30.018,97.38
31,filter:2-conv1:16-conv2:1-fc:128-Momentum,1_epoch,2,16,1,128,0.209,87.89,30.227,97.38
32,filter:2-conv1:512-conv2:64-fc:2-Momentum,1_epoch,2,512,64,2,1.13,10.28,31.357,97.38
33,filter:6-conv1:32-conv2:1-fc:1-Momentum,1_epoch,6,32,1,1,0.222,27.61,31.579,97.38
34,filter:2-conv1:4-conv2:4-fc:128-Momentum,1_epoch,2,4,4,128,0.153,93.01,31.732,97.38
35,filter:2-conv1:32-conv2:512-fc:64-Momentum,1_epoch,2,32,512,64,0.397,94.83,32.129,97.38
36,filter:8-conv1:128-conv2:512-fc:256-Momentum,1_epoch,8,128,512,256,1.94,20.84,34.069,97.38
37,filter:8-conv1:2-conv2:32-fc:16-Momentum,1_epoch,8,2,32,16,0.16,94.6,34.229,97.38
38,filter:6-conv1:128-conv2:2-fc:1-Momentum,1_epoch,6,128,2,1,0.415,25.02,34.644,97.38
39,filter:14-conv1:64-conv2:8-fc:32-Momentum,1_epoch,14,64,8,32,0.378,96.13,35.022,97.38
40,filter:4-conv1:64-conv2:8-fc:32-Momentum,1_epoch,4,64,8,32,0.261,96.78,35.283,97.38
41,filter:8-conv1:1-conv2:512-fc:512-Momentum,1_epoch,8,1,512,512,0.556,88.2,35.839,97.38
42,filter:6-conv1:32-conv2:512-fc:512-Momentum,1_epoch,6,32,512,512,1.04,97.26,36.879,97.38
43,filter:2-conv1:64-conv2:8-fc:32-Momentum,1_epoch,2,64,8,32,0.246,91.35,37.125,97.38
44,filter:4-conv1:256-conv2:64-fc:512-Momentum,1_epoch,4,256,64,512,0.951,98.15,38.076,98.15
45,filter:12-conv1:1-conv2:512-fc:8-Momentum,1_epoch,12,1,512,8,0.476,26.94,38.552,98.15
46,filter:4-conv1:512-conv2:64-fc:32-Momentum,1_epoch,4,512,64,32,1.62,97.02,40.172,98.15
47,filter:8-conv1:32-conv2:128-fc:8-Momentum,1_epoch,8,32,128,8,0.431,20.18,40.603,98.15
48,filter:14-conv1:1-conv2:16-fc:32-Momentum,1_epoch,14,1,16,32,0.355,94.18,40.958,98.15
49,filter:12-conv1:1-conv2:16-fc:1-Momentum,1_epoch,12,1,16,1,0.169,10.28,41.127,98.15
50,filter:2-conv1:128-conv2:32-fc:64-Momentum,1_epoch,2,128,32,64,0.455,95.56,41.582,98.15
51,filter:4-conv1:4-conv2:256-fc:32-Momentum,1_epoch,4,4,256,32,0.246,96.16,41.828,98.15
52,filter:4-conv1:64-conv2:128-fc:256-Momentum,1_epoch,4,64,128,256,0.563,97.97,42.391,98.15
53,filter:14-conv1:256-conv2:8-fc:32-Momentum,1_epoch,14,256,8,32,1.17,92.35,43.561,98.15
