,Setting,Step,Param1,Param2,Param3,Param4,Elapsed Time,Metric1,Total Time,Best
0,filter:4-conv1:2-conv2:16-fc:16-Momentum,1_epoch,4,2,16,16,0.359,94.01,0.359,94.01
1,filter:2-conv1:512-conv2:128-fc:32-Momentum,1_epoch,2,512,128,32,1.82,95.9,2.179,95.9
2,filter:14-conv1:4-conv2:1-fc:2-Momentum,1_epoch,14,4,1,2,0.233,44.85,2.412,95.9
3,filter:6-conv1:8-conv2:8-fc:8-Momentum,1_epoch,6,8,8,8,0.225,94.14,2.637,95.9
4,filter:12-conv1:8-conv2:2-fc:2-Momentum,1_epoch,12,8,2,2,0.335,44.83,2.972,95.9
5,filter:14-conv1:4-conv2:32-fc:64-Momentum,1_epoch,14,4,32,64,0.297,95.25,3.269,95.9
6,filter:2-conv1:8-conv2:512-fc:128-Momentum,1_epoch,2,8,512,128,0.347,93.96,3.616,95.9
7,filter:12-conv1:128-conv2:256-fc:8-Momentum,1_epoch,12,128,256,8,1.42,10.28,5.036,95.9
8,filter:2-conv1:32-conv2:16-fc:64-Momentum,1_epoch,2,32,16,64,0.208,94.33,5.244,95.9
9,filter:2-conv1:256-conv2:256-fc:32-Momentum,1_epoch,2,256,256,32,0.927,95.34,6.171,95.9
10,filter:2-conv1:1-conv2:4-fc:4-Momentum,1_epoch,2,1,4,4,0.129,30.13,6.3,95.9
11,filter:8-conv1:64-conv2:128-fc:64-Momentum,1_epoch,8,64,128,64,0.493,97.12,6.793,97.12
12,filter:12-conv1:512-conv2:8-fc:1-Momentum,1_epoch,12,512,8,1,1.78,10.28,8.573,97.12
13,filter:4-conv1:512-conv2:1-fc:1-Momentum,1_epoch,4,512,1,1,1.27,23.43,9.843,97.12
14,filter:6-conv1:256-conv2:4-fc:8-Momentum,1_epoch,6,256,4,8,0.832,91.69,10.675,97.12
15,filter:2-conv1:4-conv2:64-fc:64-Momentum,1_epoch,2,4,64,64,0.173,94.11,10.848,97.12
16,filter:2-conv1:32-conv2:512-fc:256-Momentum,1_epoch,2,32,512,256,0.501,95.09,11.349,97.12
17,filter:14-conv1:4-conv2:512-fc:512-Momentum,1_epoch,14,4,512,512,0.882,90.68,12.231,97.12
18,filter:14-conv1:4-conv2:16-fc:2-Momentum,1_epoch,14,4,16,2,0.204,10.28,12.435,97.12
19,filter:12-conv1:8-conv2:128-fc:64-Momentum,1_epoch,12,8,128,64,0.373,95.49,12.808,97.12
20,filter:12-conv1:2-conv2:8-fc:32-Momentum,1_epoch,12,2,8,32,0.177,96.01,12.985,97.12
21,filter:8-conv1:4-conv2:4-fc:256-Momentum,1_epoch,8,4,4,256,0.427,97.03,13.412,97.12
22,filter:6-conv1:128-conv2:2-fc:32-Momentum,1_epoch,6,128,2,32,0.494,94.14,13.906,97.12
23,filter:12-conv1:512-conv2:256-fc:512-Momentum,1_epoch,12,512,256,512,5.55,9.8,19.456,97.12
24,filter:4-conv1:16-conv2:2-fc:64-Momentum,1_epoch,4,16,2,64,0.179,93.62,19.635,97.12
25,filter:8-conv1:256-conv2:4-fc:128-Momentum,1_epoch,8,256,4,128,0.96,10.28,20.595,97.12
26,filter:14-conv1:16-conv2:2-fc:2-Momentum,1_epoch,14,16,2,2,0.206,45.47,20.801,97.12
27,filter:6-conv1:512-conv2:64-fc:8-Momentum,1_epoch,6,512,64,8,2.05,10.28,22.851,97.12
28,filter:12-conv1:512-conv2:256-fc:8-Momentum,1_epoch,12,512,256,8,5.56,10.28,28.411,97.12
29,filter:8-conv1:2-conv2:512-fc:16-Momentum,1_epoch,8,2,512,16,0.451,80.57,28.862,97.12
30,filter:8-conv1:16-conv2:128-fc:512-Momentum,1_epoch,8,16,128,512,0.491,97.09,29.353,97.12
31,filter:12-conv1:256-conv2:4-fc:256-Momentum,1_epoch,12,256,4,256,0.907,11.35,30.26,97.12
32,filter:8-conv1:4-conv2:64-fc:1-Momentum,1_epoch,8,4,64,1,0.341,10.28,30.601,97.12
33,filter:8-conv1:256-conv2:1-fc:8-Momentum,1_epoch,8,256,1,8,0.689,84.27,31.29,97.12
34,filter:4-conv1:64-conv2:8-fc:8-Momentum,1_epoch,4,64,8,8,0.264,93.76,31.554,97.12
35,filter:12-conv1:16-conv2:128-fc:256-Momentum,1_epoch,12,16,128,256,0.575,93.64,32.129,97.12
36,filter:12-conv1:32-conv2:2-fc:32-Momentum,1_epoch,12,32,2,32,0.269,95.38,32.398,97.12
37,filter:2-conv1:2-conv2:32-fc:2-Momentum,1_epoch,2,2,32,2,0.284,37.28,32.682,97.12
38,filter:14-conv1:8-conv2:1-fc:2-Momentum,1_epoch,14,8,1,2,0.192,44.33,32.874,97.12
39,filter:8-conv1:16-conv2:16-fc:32-Momentum,1_epoch,8,16,16,32,0.193,96.89,33.067,97.12
40,filter:8-conv1:32-conv2:4-fc:256-Momentum,1_epoch,8,32,4,256,0.215,96.3,33.282,97.12
41,filter:12-conv1:16-conv2:32-fc:1-Momentum,1_epoch,12,16,32,1,0.332,10.28,33.614,97.12
42,filter:2-conv1:16-conv2:16-fc:256-Momentum,1_epoch,2,16,16,256,0.178,94.63,33.792,97.12
43,filter:12-conv1:64-conv2:2-fc:1-Momentum,1_epoch,12,64,2,1,0.317,10.28,34.109,97.12
44,filter:12-conv1:512-conv2:2-fc:128-Momentum,1_epoch,12,512,2,128,1.57,10.28,35.679,97.12
45,filter:12-conv1:2-conv2:512-fc:64-Momentum,1_epoch,12,2,512,64,0.754,75.83,36.433,97.12
46,filter:2-conv1:8-conv2:256-fc:128-Momentum,1_epoch,2,8,256,128,0.677,94.22,37.11,97.12
47,filter:8-conv1:8-conv2:64-fc:64-Momentum,1_epoch,8,8,64,64,0.227,97.24,37.337,97.24
48,filter:8-conv1:8-conv2:256-fc:16-Momentum,1_epoch,8,8,256,16,0.385,80.33,37.722,97.24
49,filter:14-conv1:512-conv2:2-fc:1-Momentum,1_epoch,14,512,2,1,1.79,10.28,39.512,97.24
50,filter:8-conv1:512-conv2:128-fc:2-Momentum,1_epoch,8,512,128,2,2.48,10.28,41.992,97.24
51,filter:6-conv1:2-conv2:512-fc:64-Momentum,1_epoch,6,2,512,64,0.362,93.75,42.354,97.24
52,filter:14-conv1:128-conv2:256-fc:64-Momentum,1_epoch,14,128,256,64,1.87,10.28,44.224,97.24
53,filter:14-conv1:128-conv2:64-fc:512-Momentum,1_epoch,14,128,64,512,0.92,10.28,45.144,97.24
54,filter:14-conv1:32-conv2:1-fc:128-Momentum,1_epoch,14,32,1,128,0.266,10.28,45.41,97.24
55,filter:12-conv1:4-conv2:32-fc:4-Momentum,1_epoch,12,4,32,4,0.455,69.21,45.865,97.24
56,filter:2-conv1:32-conv2:64-fc:512-Momentum,1_epoch,2,32,64,512,0.401,96.86,46.266,97.24
57,filter:12-conv1:32-conv2:8-fc:512-Momentum,1_epoch,12,32,8,512,0.267,10.28,46.533,97.24
