,Setting,Step,Param1,Param2,Param3,Param4,Elapsed Time,Metric1,Total Time,Best
0,filter:2-conv1:1-conv2:2-fc:32-Momentum,1_epoch,2,1,2,32,0.191,84.56,0.191,84.56
1,filter:8-conv1:8-conv2:4-fc:32-Momentum,1_epoch,8,8,4,32,0.164,95.89,0.355,95.89
2,filter:12-conv1:256-conv2:8-fc:2-Momentum,1_epoch,12,256,8,2,0.9,10.28,1.255,95.89
3,filter:4-conv1:32-conv2:64-fc:256-Momentum,1_epoch,4,32,64,256,0.27,97.87,1.525,97.87
4,filter:2-conv1:128-conv2:4-fc:256-Momentum,1_epoch,2,128,4,256,0.569,94.94,2.094,97.87
5,filter:6-conv1:1-conv2:128-fc:2-Momentum,1_epoch,6,1,128,2,0.228,49.48,2.322,97.87
6,filter:12-conv1:128-conv2:512-fc:64-Momentum,1_epoch,12,128,512,64,2.32,10.28,4.642,97.87
7,filter:12-conv1:32-conv2:32-fc:128-Momentum,1_epoch,12,32,32,128,0.289,97.32,4.931,97.87
8,filter:12-conv1:64-conv2:4-fc:4-Momentum,1_epoch,12,64,4,4,0.675,48.94,5.606,97.87
9,filter:4-conv1:256-conv2:32-fc:128-Momentum,1_epoch,4,256,32,128,0.729,97.56,6.335,97.87
10,filter:12-conv1:128-conv2:64-fc:1-Momentum,1_epoch,12,128,64,1,0.803,10.28,7.138,97.87
11,filter:14-conv1:256-conv2:256-fc:16-Momentum,1_epoch,14,256,256,16,3.25,10.28,10.388,97.87
12,filter:4-conv1:16-conv2:2-fc:64-Momentum,1_epoch,4,16,2,64,0.179,93.62,10.567,97.87
13,filter:8-conv1:64-conv2:8-fc:64-Momentum,1_epoch,8,64,8,64,0.528,96.97,11.095,97.87
14,filter:6-conv1:16-conv2:8-fc:128-Momentum,1_epoch,6,16,8,128,0.238,97.47,11.333,97.87
15,filter:6-conv1:64-conv2:64-fc:32-Momentum,1_epoch,6,64,64,32,0.387,97.24,11.72,97.87
16,filter:14-conv1:2-conv2:4-fc:16-Momentum,1_epoch,14,2,4,16,0.338,94.78,12.058,97.87
17,filter:8-conv1:1-conv2:512-fc:1-Momentum,1_epoch,8,1,512,1,0.334,10.28,12.392,97.87
18,filter:4-conv1:1-conv2:64-fc:512-Momentum,1_epoch,4,1,64,512,0.354,96.36,12.746,97.87
19,filter:12-conv1:8-conv2:8-fc:1-Momentum,1_epoch,12,8,8,1,0.291,10.28,13.037,97.87
20,filter:2-conv1:128-conv2:2-fc:512-Momentum,1_epoch,2,128,2,512,0.453,92.07,13.49,97.87
21,filter:12-conv1:64-conv2:8-fc:8-Momentum,1_epoch,12,64,8,8,0.35,92.92,13.84,97.87
22,filter:4-conv1:32-conv2:128-fc:32-Momentum,1_epoch,4,32,128,32,0.598,96.84,14.438,97.87
23,filter:2-conv1:512-conv2:512-fc:128-Momentum,1_epoch,2,512,512,128,2.14,96.3,16.578,97.87
24,filter:6-conv1:16-conv2:4-fc:256-Momentum,1_epoch,6,16,4,256,0.308,95.37,16.886,97.87
25,filter:8-conv1:128-conv2:1-fc:4-Momentum,1_epoch,8,128,1,4,0.485,73.83,17.371,97.87
26,filter:14-conv1:512-conv2:16-fc:16-Momentum,1_epoch,14,512,16,16,1.97,10.28,19.341,97.87
27,filter:14-conv1:8-conv2:128-fc:32-Momentum,1_epoch,14,8,128,32,0.339,94.16,19.68,97.87
28,filter:8-conv1:64-conv2:8-fc:1-Momentum,1_epoch,8,64,8,1,0.317,10.28,19.997,97.87
29,filter:8-conv1:1-conv2:2-fc:16-Momentum,1_epoch,8,1,2,16,0.137,86.77,20.134,97.87
30,filter:2-conv1:1-conv2:64-fc:16-Momentum,1_epoch,2,1,64,16,0.174,84.03,20.308,97.87
31,filter:4-conv1:32-conv2:64-fc:32-Momentum,1_epoch,4,32,64,32,0.245,97.09,20.553,97.87
32,filter:4-conv1:16-conv2:16-fc:512-Momentum,1_epoch,4,16,16,512,0.191,97.84,20.744,97.87
33,filter:2-conv1:64-conv2:2-fc:1-Momentum,1_epoch,2,64,2,1,0.251,22.76,20.995,97.87
34,filter:14-conv1:2-conv2:128-fc:32-Momentum,1_epoch,14,2,128,32,0.478,93.58,21.473,97.87
35,filter:6-conv1:128-conv2:512-fc:128-Momentum,1_epoch,6,128,512,128,1.78,10.28,23.253,97.87
36,filter:8-conv1:128-conv2:8-fc:1-Momentum,1_epoch,8,128,8,1,0.482,10.28,23.735,97.87
37,filter:14-conv1:8-conv2:4-fc:512-Momentum,1_epoch,14,8,4,512,0.203,97.17,23.938,97.87
38,filter:12-conv1:8-conv2:1-fc:1-Momentum,1_epoch,12,8,1,1,0.183,27.69,24.121,97.87
39,filter:4-conv1:2-conv2:8-fc:16-Momentum,1_epoch,4,2,8,16,0.169,93.64,24.29,97.87
40,filter:4-conv1:4-conv2:1-fc:8-Momentum,1_epoch,4,4,1,8,0.132,78.02,24.422,97.87
41,filter:6-conv1:16-conv2:16-fc:32-Momentum,1_epoch,6,16,16,32,0.224,97.06,24.646,97.87
42,filter:4-conv1:2-conv2:32-fc:4-Momentum,1_epoch,4,2,32,4,0.167,73.31,24.813,97.87
43,filter:12-conv1:64-conv2:128-fc:1-Momentum,1_epoch,12,64,128,1,0.668,10.28,25.481,97.87
44,filter:8-conv1:2-conv2:32-fc:1-Momentum,1_epoch,8,2,32,1,0.164,10.28,25.645,97.87
45,filter:12-conv1:1-conv2:128-fc:2-Momentum,1_epoch,12,1,128,2,0.287,49.19,25.932,97.87
46,filter:4-conv1:64-conv2:32-fc:256-Momentum,1_epoch,4,64,32,256,0.337,97.8,26.269,97.87
