,Setting,Step,Param1,Param2,Param3,Param4,Elapsed Time,Metric1,Total Time,Best
0,filter:14-conv1:32-conv2:8-fc:4-Momentum,1_epoch,14,32,8,4,0.4,53.53,0.4,53.53
1,filter:2-conv1:2-conv2:8-fc:128-Momentum,1_epoch,2,2,8,128,0.273,93.08,0.673,93.08
2,filter:12-conv1:32-conv2:1-fc:8-Momentum,1_epoch,12,32,1,8,0.32,84.25,0.993,93.08
3,filter:4-conv1:128-conv2:128-fc:256-Momentum,1_epoch,4,128,128,256,0.713,98.06,1.706,98.06
4,filter:14-conv1:16-conv2:2-fc:2-Momentum,1_epoch,14,16,2,2,0.206,45.47,1.912,98.06
5,filter:2-conv1:64-conv2:8-fc:2-Momentum,1_epoch,2,64,8,2,0.803,51.2,2.715,98.06
6,filter:12-conv1:128-conv2:16-fc:32-Momentum,1_epoch,12,128,16,32,0.648,10.28,3.363,98.06
7,filter:8-conv1:16-conv2:512-fc:2-Momentum,1_epoch,8,16,512,2,0.812,10.28,4.175,98.06
8,filter:8-conv1:8-conv2:4-fc:16-Momentum,1_epoch,8,8,4,16,0.266,95.84,4.441,98.06
9,filter:12-conv1:8-conv2:256-fc:2-Momentum,1_epoch,12,8,256,2,0.431,10.28,4.872,98.06
10,filter:8-conv1:32-conv2:128-fc:4-Momentum,1_epoch,8,32,128,4,0.374,24.87,5.246,98.06
11,filter:4-conv1:128-conv2:2-fc:32-Momentum,1_epoch,4,128,2,32,0.426,95.11,5.672,98.06
12,filter:4-conv1:4-conv2:16-fc:4-Momentum,1_epoch,4,4,16,4,0.348,73.63,6.02,98.06
13,filter:12-conv1:4-conv2:512-fc:1-Momentum,1_epoch,12,4,512,1,0.629,10.28,6.649,98.06
14,filter:8-conv1:1-conv2:128-fc:2-Momentum,1_epoch,8,1,128,2,0.288,39.81,6.937,98.06
15,filter:8-conv1:32-conv2:2-fc:8-Momentum,1_epoch,8,32,2,8,0.309,91.56,7.246,98.06
16,filter:2-conv1:128-conv2:4-fc:2-Momentum,1_epoch,2,128,4,2,0.328,34.79,7.574,98.06
17,filter:2-conv1:64-conv2:16-fc:4-Momentum,1_epoch,2,64,16,4,0.294,75.09,7.868,98.06
18,filter:2-conv1:4-conv2:4-fc:32-Momentum,1_epoch,2,4,4,32,0.205,89.69,8.073,98.06
19,filter:6-conv1:32-conv2:1-fc:4-Momentum,1_epoch,6,32,1,4,0.303,78.24,8.376,98.06
20,filter:12-conv1:32-conv2:2-fc:1-Momentum,1_epoch,12,32,2,1,0.277,23.81,8.653,98.06
21,filter:8-conv1:16-conv2:16-fc:1-Momentum,1_epoch,8,16,16,1,0.191,10.28,8.844,98.06
22,filter:14-conv1:1-conv2:2-fc:32-Momentum,1_epoch,14,1,2,32,0.164,92.32,9.008,98.06
23,filter:6-conv1:128-conv2:32-fc:128-Momentum,1_epoch,6,128,32,128,0.51,97.54,9.518,98.06
24,filter:2-conv1:64-conv2:2-fc:16-Momentum,1_epoch,2,64,2,16,0.249,87.73,9.767,98.06
25,filter:8-conv1:256-conv2:512-fc:2-Momentum,1_epoch,8,256,512,2,3.39,10.28,13.157,98.06
26,filter:6-conv1:2-conv2:16-fc:16-Momentum,1_epoch,6,2,16,16,0.271,95.55,13.428,98.06
27,filter:8-conv1:8-conv2:8-fc:64-Momentum,1_epoch,8,8,8,64,0.274,95.9,13.702,98.06
28,filter:2-conv1:512-conv2:2-fc:64-Momentum,1_epoch,2,512,2,64,0.976,90.38,14.678,98.06
29,filter:2-conv1:256-conv2:1-fc:32-Momentum,1_epoch,2,256,1,32,0.524,83.55,15.202,98.06
