,Setting,Step,Param1,Param2,Param3,Param4,Elapsed Time,Metric1,Total Time,Best
0,filter:14-conv1:32-conv2:1-fc:512-Momentum,1_epoch,14,32,1,512,0.31,10.28,0.31,10.28
1,filter:12-conv1:128-conv2:2-fc:256-Momentum,1_epoch,12,128,2,256,0.721,10.28,1.031,10.28
2,filter:8-conv1:256-conv2:128-fc:128-Momentum,1_epoch,8,256,128,128,1.37,10.28,2.401,10.28
3,filter:14-conv1:2-conv2:1-fc:16-Momentum,1_epoch,14,2,1,16,0.195,90.68,2.596,90.68
4,filter:14-conv1:2-conv2:4-fc:8-Momentum,1_epoch,14,2,4,8,0.175,89.71,2.771,90.68
5,filter:14-conv1:32-conv2:128-fc:4-Momentum,1_epoch,14,32,128,4,0.457,10.28,3.228,90.68
6,filter:2-conv1:128-conv2:2-fc:64-Momentum,1_epoch,2,128,2,64,0.484,92.27,3.712,92.27
7,filter:14-conv1:256-conv2:16-fc:64-Momentum,1_epoch,14,256,16,64,1.1,93.58,4.812,93.58
8,filter:14-conv1:32-conv2:2-fc:256-Momentum,1_epoch,14,32,2,256,0.275,10.28,5.087,93.58
9,filter:12-conv1:512-conv2:4-fc:128-Momentum,1_epoch,12,512,4,128,1.75,10.28,6.837,93.58
10,filter:4-conv1:1-conv2:16-fc:64-Momentum,1_epoch,4,1,16,64,0.353,95.5,7.19,95.5
11,filter:4-conv1:16-conv2:64-fc:8-Momentum,1_epoch,4,16,64,8,0.206,93.94,7.396,95.5
12,filter:14-conv1:2-conv2:16-fc:2-Momentum,1_epoch,14,2,16,2,0.187,52.44,7.583,95.5
13,filter:14-conv1:2-conv2:128-fc:16-Momentum,1_epoch,14,2,128,16,0.303,87.23,7.886,95.5
14,filter:12-conv1:16-conv2:32-fc:16-Momentum,1_epoch,12,16,32,16,0.235,95.45,8.121,95.5
15,filter:4-conv1:4-conv2:32-fc:32-Momentum,1_epoch,4,4,32,32,0.248,96.37,8.369,96.37
16,filter:14-conv1:4-conv2:128-fc:4-Momentum,1_epoch,14,4,128,4,0.316,10.28,8.685,96.37
17,filter:6-conv1:1-conv2:1-fc:32-Momentum,1_epoch,6,1,1,32,0.142,86.48,8.827,96.37
18,filter:6-conv1:32-conv2:2-fc:1-Momentum,1_epoch,6,32,2,1,0.212,29.37,9.039,96.37
19,filter:12-conv1:16-conv2:128-fc:64-Momentum,1_epoch,12,16,128,64,0.362,95.43,9.401,96.37
20,filter:12-conv1:4-conv2:16-fc:512-Momentum,1_epoch,12,4,16,512,0.277,96.29,9.678,96.37
21,filter:8-conv1:2-conv2:64-fc:4-Momentum,1_epoch,8,2,64,4,0.191,54.79,9.869,96.37
22,filter:2-conv1:256-conv2:64-fc:2-Momentum,1_epoch,2,256,64,2,0.609,52.19,10.478,96.37
23,filter:6-conv1:256-conv2:16-fc:256-Momentum,1_epoch,6,256,16,256,0.736,96.95,11.214,96.95
24,filter:6-conv1:4-conv2:512-fc:1-Momentum,1_epoch,6,4,512,1,0.444,10.28,11.658,96.95
25,filter:14-conv1:16-conv2:64-fc:256-Momentum,1_epoch,14,16,64,256,0.304,95.44,11.962,96.95
26,filter:8-conv1:1-conv2:2-fc:32-Momentum,1_epoch,8,1,2,32,0.152,91.59,12.114,96.95
