,Setting,Step,Param1,Param2,Param3,Param4,Elapsed Time,Metric1,Total Time,Best
0,filter:6-conv1:512-conv2:2-fc:4-Momentum,1_epoch,6,512,2,4,1.26,83.56,1.26,83.56
1,filter:14-conv1:16-conv2:256-fc:4-Momentum,1_epoch,14,16,256,4,0.503,10.28,1.763,83.56
2,filter:14-conv1:16-conv2:512-fc:4-Momentum,1_epoch,14,16,512,4,0.801,10.28,2.564,83.56
3,filter:8-conv1:256-conv2:64-fc:8-Momentum,1_epoch,8,256,64,8,1.19,10.28,3.754,83.56
4,filter:6-conv1:1-conv2:1-fc:128-Momentum,1_epoch,6,1,1,128,0.313,89.53,4.067,89.53
5,filter:8-conv1:512-conv2:128-fc:4-Momentum,1_epoch,8,512,128,4,2.31,10.28,6.377,89.53
6,filter:4-conv1:64-conv2:32-fc:512-Momentum,1_epoch,4,64,32,512,0.43,97.95,6.807,97.95
7,filter:4-conv1:32-conv2:4-fc:2-Momentum,1_epoch,4,32,4,2,0.198,50.31,7.005,97.95
8,filter:8-conv1:4-conv2:128-fc:4-Momentum,1_epoch,8,4,128,4,0.223,27.98,7.228,97.95
9,filter:8-conv1:8-conv2:2-fc:16-Momentum,1_epoch,8,8,2,16,0.164,93.59,7.392,97.95
10,filter:14-conv1:512-conv2:4-fc:512-Momentum,1_epoch,14,512,4,512,1.97,10.28,9.362,97.95
11,filter:6-conv1:64-conv2:512-fc:512-Momentum,1_epoch,6,64,512,512,1.34,97.13,10.702,97.95
12,filter:8-conv1:16-conv2:64-fc:8-Momentum,1_epoch,8,16,64,8,0.243,22.93,10.945,97.95
13,filter:12-conv1:256-conv2:2-fc:8-Momentum,1_epoch,12,256,2,8,0.886,79.51,11.831,97.95
14,filter:2-conv1:256-conv2:128-fc:128-Momentum,1_epoch,2,256,128,128,0.715,96.49,12.546,97.95
15,filter:8-conv1:512-conv2:2-fc:1-Momentum,1_epoch,8,512,2,1,1.44,10.28,13.986,97.95
16,filter:14-conv1:16-conv2:16-fc:4-Momentum,1_epoch,14,16,16,4,0.227,39.54,14.213,97.95
17,filter:12-conv1:1-conv2:16-fc:128-Momentum,1_epoch,12,1,16,128,0.385,94.37,14.598,97.95
18,filter:2-conv1:4-conv2:512-fc:4-Momentum,1_epoch,2,4,512,4,0.335,10.28,14.933,97.95
19,filter:2-conv1:4-conv2:64-fc:16-Momentum,1_epoch,2,4,64,16,0.212,90.18,15.145,97.95
20,filter:6-conv1:128-conv2:256-fc:1-Momentum,1_epoch,6,128,256,1,0.979,10.28,16.124,97.95
21,filter:8-conv1:4-conv2:128-fc:64-Momentum,1_epoch,8,4,128,64,0.264,96.47,16.388,97.95
22,filter:2-conv1:256-conv2:1-fc:512-Momentum,1_epoch,2,256,1,512,0.613,91.43,17.001,97.95
23,filter:6-conv1:64-conv2:4-fc:64-Momentum,1_epoch,6,64,4,64,0.286,97.15,17.287,97.95
24,filter:8-conv1:4-conv2:32-fc:2-Momentum,1_epoch,8,4,32,2,0.167,51.81,17.454,97.95
25,filter:12-conv1:256-conv2:8-fc:256-Momentum,1_epoch,12,256,8,256,1.02,10.28,18.474,97.95
26,filter:12-conv1:8-conv2:16-fc:16-Momentum,1_epoch,12,8,16,16,0.211,94.86,18.685,97.95
27,filter:4-conv1:8-conv2:2-fc:4-Momentum,1_epoch,4,8,2,4,0.274,74.48,18.959,97.95
28,filter:6-conv1:512-conv2:64-fc:16-Momentum,1_epoch,6,512,64,16,1.66,10.28,20.619,97.95
29,filter:2-conv1:128-conv2:128-fc:128-Momentum,1_epoch,2,128,128,128,0.433,95.83,21.052,97.95
30,filter:4-conv1:32-conv2:128-fc:32-Momentum,1_epoch,4,32,128,32,0.598,96.84,21.65,97.95
31,filter:12-conv1:32-conv2:128-fc:256-Momentum,1_epoch,12,32,128,256,0.435,95.72,22.085,97.95
