,Setting,Step,Param1,Param2,Param3,Param4,Elapsed Time,Metric1,Total Time,Best
32,filter:8-conv1:512-conv2:32-fc:2-Momentum,1_epoch,8,512,32,2,1.64,10.28,23.725,97.95
33,filter:8-conv1:512-conv2:64-fc:16-Momentum,1_epoch,8,512,64,16,1.9,10.28,25.625,97.95
34,filter:2-conv1:64-conv2:128-fc:64-Momentum,1_epoch,2,64,128,64,0.308,95.5,25.933,97.95
35,filter:14-conv1:32-conv2:32-fc:512-Momentum,1_epoch,14,32,32,512,0.35,94.84,26.283,97.95
36,filter:4-conv1:64-conv2:128-fc:128-Momentum,1_epoch,4,64,128,128,0.432,97.7,26.715,97.95
37,filter:14-conv1:16-conv2:8-fc:256-Momentum,1_epoch,14,16,8,256,0.439,97.09,27.154,97.95
38,filter:14-conv1:4-conv2:8-fc:64-Momentum,1_epoch,14,4,8,64,0.187,95.56,27.341,97.95
39,filter:4-conv1:32-conv2:256-fc:64-Momentum,1_epoch,4,32,256,64,0.533,97.41,27.874,97.95
40,filter:8-conv1:64-conv2:4-fc:32-Momentum,1_epoch,8,64,4,32,0.353,96.15,28.227,97.95
41,filter:4-conv1:64-conv2:32-fc:64-Momentum,1_epoch,4,64,32,64,0.302,96.34,28.529,97.95
42,filter:14-conv1:32-conv2:1-fc:64-Momentum,1_epoch,14,32,1,64,0.338,95.26,28.867,97.95
43,filter:2-conv1:512-conv2:1-fc:128-Momentum,1_epoch,2,512,1,128,1.46,89.79,30.327,97.95
44,filter:8-conv1:128-conv2:128-fc:512-Momentum,1_epoch,8,128,128,512,0.935,96.59,31.262,97.95
45,filter:2-conv1:32-conv2:16-fc:256-Momentum,1_epoch,2,32,16,256,0.427,95.56,31.689,97.95
46,filter:8-conv1:8-conv2:4-fc:1-Momentum,1_epoch,8,8,4,1,0.269,23.18,31.958,97.95
47,filter:6-conv1:2-conv2:8-fc:8-Momentum,1_epoch,6,2,8,8,0.153,88.85,32.111,97.95
48,filter:8-conv1:16-conv2:128-fc:16-Momentum,1_epoch,8,16,128,16,0.39,88.81,32.501,97.95
49,filter:8-conv1:32-conv2:8-fc:64-Momentum,1_epoch,8,32,8,64,0.308,96.38,32.809,97.95
50,filter:2-conv1:128-conv2:4-fc:128-Momentum,1_epoch,2,128,4,128,0.512,91.63,33.321,97.95
51,filter:4-conv1:32-conv2:512-fc:256-Momentum,1_epoch,4,32,512,256,0.659,97.6,33.98,97.95
52,filter:4-conv1:32-conv2:512-fc:8-Momentum,1_epoch,4,32,512,8,0.58,51.34,34.56,97.95
53,filter:12-conv1:2-conv2:64-fc:256-Momentum,1_epoch,12,2,64,256,0.234,93.51,34.794,97.95
54,filter:12-conv1:32-conv2:256-fc:256-Momentum,1_epoch,12,32,256,256,0.734,90.43,35.528,97.95
55,filter:14-conv1:256-conv2:128-fc:512-Momentum,1_epoch,14,256,128,512,2.18,9.8,37.708,97.95
56,filter:12-conv1:2-conv2:8-fc:512-Momentum,1_epoch,12,2,8,512,0.306,95.41,38.014,97.95
57,filter:14-conv1:4-conv2:32-fc:4-Momentum,1_epoch,14,4,32,4,0.289,43.15,38.303,97.95
58,filter:8-conv1:8-conv2:64-fc:64-Momentum,1_epoch,8,8,64,64,0.227,97.24,38.53,97.95
59,filter:4-conv1:128-conv2:8-fc:16-Momentum,1_epoch,4,128,8,16,0.421,96.08,38.951,97.95
60,filter:4-conv1:128-conv2:2-fc:128-Momentum,1_epoch,4,128,2,128,0.488,95.7,39.439,97.95
61,filter:4-conv1:1-conv2:32-fc:8-Momentum,1_epoch,4,1,32,8,0.254,88.95,39.693,97.95
62,filter:6-conv1:256-conv2:16-fc:16-Momentum,1_epoch,6,256,16,16,0.826,96.77,40.519,97.95
63,filter:12-conv1:4-conv2:2-fc:2-Momentum,1_epoch,12,4,2,2,0.266,44.94,40.785,97.95
64,filter:14-conv1:1-conv2:128-fc:4-Momentum,1_epoch,14,1,128,4,0.429,22.04,41.214,97.95
65,filter:6-conv1:128-conv2:512-fc:512-Momentum,1_epoch,6,128,512,512,1.92,90.51,43.134,97.95
66,filter:8-conv1:512-conv2:16-fc:512-Momentum,1_epoch,8,512,16,512,1.43,10.28,44.564,97.95
67,filter:12-conv1:128-conv2:128-fc:4-Momentum,1_epoch,12,128,128,4,1.04,10.28,45.604,97.95
68,filter:12-conv1:8-conv2:1-fc:256-Momentum,1_epoch,12,8,1,256,0.398,95.32,46.002,97.95
69,filter:12-conv1:1-conv2:1-fc:256-Momentum,1_epoch,12,1,1,256,0.25,92.55,46.252,97.95
70,filter:2-conv1:64-conv2:1-fc:128-Momentum,1_epoch,2,64,1,128,0.318,88.53,46.57,97.95
71,filter:2-conv1:8-conv2:16-fc:4-Momentum,1_epoch,2,8,16,4,0.17,75.32,46.74,97.95
72,filter:4-conv1:32-conv2:8-fc:512-Momentum,1_epoch,4,32,8,512,0.429,97.64,47.169,97.95
73,filter:4-conv1:64-conv2:4-fc:64-Momentum,1_epoch,4,64,4,64,0.346,96.58,47.515,97.95
74,filter:8-conv1:4-conv2:32-fc:4-Momentum,1_epoch,8,4,32,4,0.172,81.43,47.687,97.95
75,filter:8-conv1:16-conv2:4-fc:8-Momentum,1_epoch,8,16,4,8,0.178,94.15,47.865,97.95
76,filter:8-conv1:128-conv2:32-fc:16-Momentum,1_epoch,8,128,32,16,0.523,94.34,48.388,97.95
77,filter:12-conv1:512-conv2:2-fc:16-Momentum,1_epoch,12,512,2,16,1.56,10.28,49.948,97.95
78,filter:4-conv1:4-conv2:512-fc:256-Momentum,1_epoch,4,4,512,256,0.432,95.42,50.38,97.95
79,filter:12-conv1:16-conv2:2-fc:32-Momentum,1_epoch,12,16,2,32,0.201,95.76,50.581,97.95
80,filter:8-conv1:8-conv2:32-fc:32-Momentum,1_epoch,8,8,32,32,0.192,96.98,50.773,97.95
81,filter:4-conv1:32-conv2:256-fc:2-Momentum,1_epoch,4,32,256,2,0.385,28.83,51.158,97.95
82,filter:2-conv1:512-conv2:128-fc:1-Momentum,1_epoch,2,512,128,1,1.29,10.28,52.448,97.95
83,filter:8-conv1:64-conv2:32-fc:64-Momentum,1_epoch,8,64,32,64,0.325,97.44,52.773,97.95
84,filter:14-conv1:4-conv2:4-fc:32-Momentum,1_epoch,14,4,4,32,0.183,95.35,52.956,97.95
85,filter:4-conv1:2-conv2:256-fc:128-Momentum,1_epoch,4,2,256,128,0.648,95.34,53.604,97.95
86,filter:4-conv1:2-conv2:512-fc:16-Momentum,1_epoch,4,2,512,16,0.413,91.55,54.017,97.95
87,filter:4-conv1:2-conv2:128-fc:32-Momentum,1_epoch,4,2,128,32,0.192,94.87,54.209,97.95
88,filter:12-conv1:8-conv2:64-fc:512-Momentum,1_epoch,12,8,64,512,0.353,95.65,54.562,97.95
89,filter:6-conv1:2-conv2:4-fc:32-Momentum,1_epoch,6,2,4,32,0.251,94.04,54.813,97.95
90,filter:4-conv1:4-conv2:512-fc:4-Momentum,1_epoch,4,4,512,4,0.402,47.63,55.215,97.95
91,filter:12-conv1:4-conv2:128-fc:512-Momentum,1_epoch,12,4,128,512,0.318,93.76,55.533,97.95
92,filter:12-conv1:64-conv2:128-fc:512-Momentum,1_epoch,12,64,128,512,0.845,10.28,56.378,97.95
93,filter:2-conv1:32-conv2:1-fc:64-Momentum,1_epoch,2,32,1,64,0.285,88.97,56.663,97.95
94,filter:2-conv1:64-conv2:4-fc:128-Momentum,1_epoch,2,64,4,128,0.237,94.11,56.9,97.95
95,filter:2-conv1:2-conv2:256-fc:8-Momentum,1_epoch,2,2,256,8,0.378,10.28,57.278,97.95
96,filter:14-conv1:32-conv2:4-fc:32-Momentum,1_epoch,14,32,4,32,0.255,95.44,57.533,97.95
97,filter:2-conv1:128-conv2:256-fc:512-Momentum,1_epoch,2,128,256,512,0.693,96.76,58.226,97.95
98,filter:2-conv1:32-conv2:32-fc:8-Momentum,1_epoch,2,32,32,8,0.298,83.18,58.524,97.95
99,filter:2-conv1:8-conv2:8-fc:4-Momentum,1_epoch,2,8,8,4,0.257,65.71,58.781,97.95
100,filter:14-conv1:1-conv2:2-fc:4-Momentum,1_epoch,14,1,2,4,0.166,78.44,58.947,97.95
101,filter:2-conv1:256-conv2:32-fc:4-Momentum,1_epoch,2,256,32,4,0.667,65.8,59.614,97.95
102,filter:8-conv1:64-conv2:4-fc:1-Momentum,1_epoch,8,64,4,1,0.323,10.28,59.937,97.95
103,filter:2-conv1:512-conv2:16-fc:16-Momentum,1_epoch,2,512,16,16,0.974,94.71,60.911,97.95
104,filter:12-conv1:64-conv2:4-fc:8-Momentum,1_epoch,12,64,4,8,0.389,91.92,61.3,97.95
105,filter:4-conv1:512-conv2:8-fc:2-Momentum,1_epoch,4,512,8,2,1.78,52.51,63.08,97.95
106,filter:14-conv1:16-conv2:128-fc:1-Momentum,1_epoch,14,16,128,1,0.364,10.28,63.444,97.95
107,filter:12-conv1:1-conv2:1-fc:2-Momentum,1_epoch,12,1,1,2,0.258,39.45,63.702,97.95
108,filter:4-conv1:32-conv2:128-fc:128-Momentum,1_epoch,4,32,128,128,0.368,97.66,64.07,97.95
109,filter:6-conv1:1-conv2:512-fc:256-Momentum,1_epoch,6,1,512,256,0.414,92.31,64.484,97.95
110,filter:2-conv1:512-conv2:4-fc:64-Momentum,1_epoch,2,512,4,64,1.05,95.23,65.534,97.95
111,filter:2-conv1:128-conv2:32-fc:64-Momentum,1_epoch,2,128,32,64,0.455,95.56,65.989,97.95
112,filter:4-conv1:32-conv2:16-fc:32-Momentum,1_epoch,4,32,16,32,0.211,96.7,66.2,97.95
113,filter:12-conv1:64-conv2:64-fc:512-Momentum,1_epoch,12,64,64,512,0.467,95.38,66.667,97.95
114,filter:4-conv1:16-conv2:4-fc:128-Momentum,1_epoch,4,16,4,128,0.215,96.72,66.882,97.95
115,filter:4-conv1:512-conv2:1-fc:16-Momentum,1_epoch,4,512,1,16,1.26,90.24,68.142,97.95
116,filter:12-conv1:32-conv2:8-fc:16-Momentum,1_epoch,12,32,8,16,0.263,96.33,68.405,97.95
117,filter:2-conv1:8-conv2:4-fc:8-Momentum,1_epoch,2,8,4,8,0.179,65.47,68.584,97.95
118,filter:4-conv1:512-conv2:8-fc:256-Momentum,1_epoch,4,512,8,256,1.35,95.53,69.934,97.95
119,filter:8-conv1:2-conv2:2-fc:16-Momentum,1_epoch,8,2,2,16,0.244,92.57,70.178,97.95
120,filter:4-conv1:64-conv2:8-fc:16-Momentum,1_epoch,4,64,8,16,0.315,96.01,70.493,97.95
121,filter:4-conv1:4-conv2:256-fc:8-Momentum,1_epoch,4,4,256,8,0.618,85.73,71.111,97.95
122,filter:2-conv1:8-conv2:4-fc:2-Momentum,1_epoch,2,8,4,2,0.265,37.69,71.376,97.95
123,filter:2-conv1:32-conv2:512-fc:16-Momentum,1_epoch,2,32,512,16,0.55,87.15,71.926,97.95
124,filter:6-conv1:16-conv2:4-fc:128-Momentum,1_epoch,6,16,4,128,0.176,96.97,72.102,97.95
125,filter:2-conv1:8-conv2:2-fc:256-Momentum,1_epoch,2,8,2,256,0.255,90.9,72.357,97.95
126,filter:14-conv1:2-conv2:256-fc:16-Momentum,1_epoch,14,2,256,16,0.413,73.18,72.77,97.95
127,filter:6-conv1:2-conv2:32-fc:1-Momentum,1_epoch,6,2,32,1,0.161,28.38,72.931,97.95
128,filter:12-conv1:64-conv2:16-fc:8-Momentum,1_epoch,12,64,16,8,0.379,56.84,73.31,97.95
129,filter:4-conv1:2-conv2:1-fc:32-Momentum,1_epoch,4,2,1,32,0.138,87.43,73.448,97.95
130,filter:6-conv1:2-conv2:2-fc:2-Momentum,1_epoch,6,2,2,2,0.147,38.37,73.595,97.95
131,filter:8-conv1:64-conv2:2-fc:256-Momentum,1_epoch,8,64,2,256,0.361,10.28,73.956,97.95
132,filter:2-conv1:2-conv2:8-fc:512-Momentum,1_epoch,2,2,8,512,0.262,10.28,74.218,97.95
133,filter:2-conv1:8-conv2:1-fc:1-Momentum,1_epoch,2,8,1,1,0.249,20.22,74.467,97.95
134,filter:12-conv1:512-conv2:4-fc:512-Momentum,1_epoch,12,512,4,512,1.57,10.28,76.037,97.95
135,filter:12-conv1:512-conv2:16-fc:8-Momentum,1_epoch,12,512,16,8,1.92,10.28,77.957,97.95
136,filter:6-conv1:2-conv2:4-fc:128-Momentum,1_epoch,6,2,4,128,0.236,95.32,78.193,97.95
137,filter:4-conv1:1-conv2:512-fc:16-Momentum,1_epoch,4,1,512,16,0.46,88.1,78.653,97.95
138,filter:2-conv1:16-conv2:16-fc:512-Momentum,1_epoch,2,16,16,512,0.385,95.95,79.038,97.95
139,filter:2-conv1:32-conv2:2-fc:32-Momentum,1_epoch,2,32,2,32,0.186,89.75,79.224,97.95
140,filter:14-conv1:1-conv2:4-fc:256-Momentum,1_epoch,14,1,4,256,0.328,93.03,79.552,97.95
141,filter:6-conv1:64-conv2:1-fc:32-Momentum,1_epoch,6,64,1,32,0.335,93.41,79.887,97.95
142,filter:6-conv1:512-conv2:8-fc:512-Momentum,1_epoch,6,512,8,512,1.61,10.28,81.497,97.95
143,filter:12-conv1:512-conv2:256-fc:4-Momentum,1_epoch,12,512,256,4,5.54,10.28,87.037,97.95
144,filter:6-conv1:512-conv2:128-fc:2-Momentum,1_epoch,6,512,128,2,2.48,10.28,89.517,97.95
145,filter:12-conv1:256-conv2:4-fc:64-Momentum,1_epoch,12,256,4,64,1.01,10.28,90.527,97.95
146,filter:12-conv1:16-conv2:2-fc:64-Momentum,1_epoch,12,16,2,64,0.265,94.54,90.792,97.95
147,filter:12-conv1:256-conv2:4-fc:128-Momentum,1_epoch,12,256,4,128,0.859,10.28,91.651,97.95
148,filter:2-conv1:8-conv2:256-fc:8-Momentum,1_epoch,2,8,256,8,0.516,10.28,92.167,97.95
149,filter:14-conv1:32-conv2:4-fc:128-Momentum,1_epoch,14,32,4,128,0.267,96.51,92.434,97.95
150,filter:8-conv1:4-conv2:32-fc:64-Momentum,1_epoch,8,4,32,64,0.185,97.41,92.619,97.95
151,filter:4-conv1:2-conv2:16-fc:1-Momentum,1_epoch,4,2,16,1,0.146,26.08,92.765,97.95
152,filter:12-conv1:32-conv2:16-fc:256-Momentum,1_epoch,12,32,16,256,0.27,97.47,93.035,97.95
153,filter:14-conv1:512-conv2:512-fc:2-Momentum,1_epoch,14,512,512,2,11.1,10.28,104.135,97.95
154,filter:14-conv1:4-conv2:64-fc:64-Momentum,1_epoch,14,4,64,64,0.471,95.76,104.606,97.95
155,filter:6-conv1:16-conv2:32-fc:2-Momentum,1_epoch,6,16,32,2,0.64,40.69,105.246,97.95
156,filter:6-conv1:4-conv2:128-fc:512-Momentum,1_epoch,6,4,128,512,0.371,97.62,105.617,97.95
157,filter:6-conv1:256-conv2:512-fc:1-Momentum,1_epoch,6,256,512,1,2.99,10.28,108.607,97.95
158,filter:12-conv1:32-conv2:512-fc:8-Momentum,1_epoch,12,32,512,8,0.988,10.28,109.595,97.95
159,filter:14-conv1:64-conv2:2-fc:256-Momentum,1_epoch,14,64,2,256,0.59,10.28,110.185,97.95
160,filter:14-conv1:512-conv2:64-fc:32-Momentum,1_epoch,14,512,64,32,2.83,10.28,113.015,97.95
161,filter:6-conv1:32-conv2:128-fc:128-Momentum,1_epoch,6,32,128,128,0.423,97.79,113.438,97.95
162,filter:14-conv1:16-conv2:512-fc:256-Momentum,1_epoch,14,16,512,256,0.882,53.89,114.32,97.95
163,filter:4-conv1:4-conv2:4-fc:256-Momentum,1_epoch,4,4,4,256,0.298,96.75,114.618,97.95
164,filter:2-conv1:4-conv2:512-fc:64-Momentum,1_epoch,2,4,512,64,0.318,91.79,114.936,97.95
165,filter:6-conv1:256-conv2:512-fc:64-Momentum,1_epoch,6,256,512,64,2.95,10.28,117.886,97.95
166,filter:4-conv1:32-conv2:8-fc:256-Momentum,1_epoch,4,32,8,256,0.306,97.59,118.192,97.95
167,filter:14-conv1:32-conv2:128-fc:4-Momentum,1_epoch,14,32,128,4,0.457,10.28,118.649,97.95
168,filter:6-conv1:4-conv2:64-fc:64-Momentum,1_epoch,6,4,64,64,0.221,97.32,118.87,97.95
169,filter:8-conv1:8-conv2:16-fc:512-Momentum,1_epoch,8,8,16,512,0.192,97.04,119.062,97.95
170,filter:2-conv1:1-conv2:32-fc:128-Momentum,1_epoch,2,1,32,128,0.157,94.11,119.219,97.95
171,filter:2-conv1:8-conv2:128-fc:32-Momentum,1_epoch,2,8,128,32,0.307,93.28,119.526,97.95
172,filter:8-conv1:2-conv2:512-fc:512-Momentum,1_epoch,8,2,512,512,0.608,92.89,120.134,97.95
173,filter:8-conv1:16-conv2:128-fc:2-Momentum,1_epoch,8,16,128,2,0.475,21.12,120.609,97.95
174,filter:4-conv1:16-conv2:128-fc:8-Momentum,1_epoch,4,16,128,8,0.263,10.28,120.872,97.95
175,filter:14-conv1:128-conv2:2-fc:512-Momentum,1_epoch,14,128,2,512,0.616,10.28,121.488,97.95
176,filter:14-conv1:32-conv2:32-fc:16-Momentum,1_epoch,14,32,32,16,0.308,93.28,121.796,97.95
177,filter:2-conv1:32-conv2:512-fc:8-Momentum,1_epoch,2,32,512,8,0.417,17.62,122.213,97.95
178,filter:6-conv1:8-conv2:8-fc:64-Momentum,1_epoch,6,8,8,64,0.358,96.82,122.571,97.95
179,filter:14-conv1:8-conv2:4-fc:16-Momentum,1_epoch,14,8,4,16,0.196,95.0,122.767,97.95
180,filter:2-conv1:4-conv2:1-fc:8-Momentum,1_epoch,2,4,1,8,0.51,68.46,123.277,97.95
181,filter:14-conv1:256-conv2:128-fc:128-Momentum,1_epoch,14,256,128,128,2.19,10.28,125.467,97.95
182,filter:6-conv1:4-conv2:128-fc:32-Momentum,1_epoch,6,4,128,32,0.21,97.21,125.677,97.95
183,filter:12-conv1:32-conv2:512-fc:16-Momentum,1_epoch,12,32,512,16,1.01,10.28,126.687,97.95
184,filter:14-conv1:128-conv2:1-fc:8-Momentum,1_epoch,14,128,1,8,0.617,84.08,127.304,97.95
185,filter:2-conv1:8-conv2:16-fc:8-Momentum,1_epoch,2,8,16,8,0.257,86.31,127.561,97.95
186,filter:14-conv1:2-conv2:512-fc:1-Momentum,1_epoch,14,2,512,1,0.61,10.28,128.171,97.95
187,filter:2-conv1:4-conv2:256-fc:4-Momentum,1_epoch,2,4,256,4,0.444,79.14,128.615,97.95
188,filter:8-conv1:32-conv2:4-fc:2-Momentum,1_epoch,8,32,4,2,0.208,39.48,128.823,97.95
189,filter:12-conv1:1-conv2:16-fc:4-Momentum,1_epoch,12,1,16,4,0.179,81.87,129.002,97.95
190,filter:6-conv1:32-conv2:256-fc:8-Momentum,1_epoch,6,32,256,8,0.89,59.53,129.892,97.95
191,filter:6-conv1:8-conv2:32-fc:128-Momentum,1_epoch,6,8,32,128,0.193,97.6,130.085,97.95
192,filter:12-conv1:32-conv2:64-fc:8-Momentum,1_epoch,12,32,64,8,0.642,10.28,130.727,97.95
193,filter:4-conv1:64-conv2:256-fc:4-Momentum,1_epoch,4,64,256,4,0.626,10.28,131.353,97.95
194,filter:8-conv1:256-conv2:32-fc:256-Momentum,1_epoch,8,256,32,256,0.945,95.26,132.298,97.95
195,filter:14-conv1:1-conv2:32-fc:2-Momentum,1_epoch,14,1,32,2,0.193,42.69,132.491,97.95
196,filter:6-conv1:1-conv2:4-fc:512-Momentum,1_epoch,6,1,4,512,0.155,94.65,132.646,97.95
197,filter:12-conv1:32-conv2:8-fc:64-Momentum,1_epoch,12,32,8,64,0.324,97.05,132.97,97.95
198,filter:4-conv1:256-conv2:128-fc:128-Momentum,1_epoch,4,256,128,128,1.19,97.41,134.16,97.95
199,filter:12-conv1:512-conv2:512-fc:256-Momentum,1_epoch,12,512,512,256,9.92,9.8,144.08,97.95
200,filter:8-conv1:8-conv2:4-fc:8-Momentum,1_epoch,8,8,4,8,0.16,94.35,144.24,97.95
201,filter:2-conv1:128-conv2:16-fc:32-Momentum,1_epoch,2,128,16,32,0.364,93.84,144.604,97.95
202,filter:8-conv1:2-conv2:256-fc:128-Momentum,1_epoch,8,2,256,128,0.265,95.38,144.869,97.95
203,filter:12-conv1:128-conv2:2-fc:128-Momentum,1_epoch,12,128,2,128,0.485,10.28,145.354,97.95
204,filter:8-conv1:512-conv2:256-fc:8-Momentum,1_epoch,8,512,256,8,3.74,10.28,149.094,97.95
205,filter:12-conv1:128-conv2:256-fc:2-Momentum,1_epoch,12,128,256,2,1.5,10.28,150.594,97.95
206,filter:14-conv1:16-conv2:2-fc:2-Momentum,1_epoch,14,16,2,2,0.206,45.47,150.8,97.95
207,filter:6-conv1:128-conv2:128-fc:16-Momentum,1_epoch,6,128,128,16,0.809,48.51,151.609,97.95
208,filter:2-conv1:256-conv2:16-fc:128-Momentum,1_epoch,2,256,16,128,0.708,95.65,152.317,97.95
209,filter:12-conv1:128-conv2:64-fc:16-Momentum,1_epoch,12,128,64,16,0.769,10.28,153.086,97.95
210,filter:2-conv1:16-conv2:4-fc:8-Momentum,1_epoch,2,16,4,8,0.371,82.83,153.457,97.95
211,filter:6-conv1:4-conv2:1-fc:128-Momentum,1_epoch,6,4,1,128,0.348,93.16,153.805,97.95
212,filter:2-conv1:2-conv2:16-fc:16-Momentum,1_epoch,2,2,16,16,0.205,83.75,154.01,97.95
213,filter:2-conv1:512-conv2:16-fc:32-Momentum,1_epoch,2,512,16,32,1.07,95.37,155.08,97.95
214,filter:6-conv1:4-conv2:16-fc:512-Momentum,1_epoch,6,4,16,512,0.173,97.82,155.253,97.95
215,filter:8-conv1:64-conv2:32-fc:256-Momentum,1_epoch,8,64,32,256,0.408,97.58,155.661,97.95
216,filter:2-conv1:4-conv2:8-fc:256-Momentum,1_epoch,2,4,8,256,0.149,94.45,155.81,97.95
217,filter:8-conv1:256-conv2:2-fc:1-Momentum,1_epoch,8,256,2,1,0.782,10.28,156.592,97.95
218,filter:4-conv1:16-conv2:16-fc:4-Momentum,1_epoch,4,16,16,4,0.205,81.83,156.797,97.95
219,filter:6-conv1:16-conv2:512-fc:512-Momentum,1_epoch,6,16,512,512,0.838,97.17,157.635,97.95
220,filter:8-conv1:2-conv2:16-fc:256-Momentum,1_epoch,8,2,16,256,0.162,96.12,157.797,97.95
221,filter:4-conv1:32-conv2:512-fc:1-Momentum,1_epoch,4,32,512,1,0.614,10.28,158.411,97.95
222,filter:6-conv1:4-conv2:8-fc:1-Momentum,1_epoch,6,4,8,1,0.261,27.77,158.672,97.95
223,filter:8-conv1:32-conv2:256-fc:128-Momentum,1_epoch,8,32,256,128,0.725,96.23,159.397,97.95
224,filter:2-conv1:512-conv2:32-fc:16-Momentum,1_epoch,2,512,32,16,0.999,95.14,160.396,97.95
225,filter:2-conv1:256-conv2:128-fc:64-Momentum,1_epoch,2,256,128,64,0.71,95.86,161.106,97.95
226,filter:14-conv1:8-conv2:2-fc:32-Momentum,1_epoch,14,8,2,32,0.23,95.72,161.336,97.95
227,filter:12-conv1:512-conv2:1-fc:1-Momentum,1_epoch,12,512,1,1,1.65,24.89,162.986,97.95
228,filter:8-conv1:16-conv2:32-fc:16-Momentum,1_epoch,8,16,32,16,0.212,96.14,163.198,97.95
229,filter:8-conv1:128-conv2:128-fc:16-Momentum,1_epoch,8,128,128,16,0.727,10.28,163.925,97.95
230,filter:8-conv1:4-conv2:32-fc:128-Momentum,1_epoch,8,4,32,128,0.33,97.4,164.255,97.95
231,filter:4-conv1:64-conv2:8-fc:1-Momentum,1_epoch,4,64,8,1,0.307,24.19,164.562,97.95
232,filter:4-conv1:4-conv2:1-fc:1-Momentum,1_epoch,4,4,1,1,0.146,31.37,164.708,97.95
233,filter:12-conv1:1-conv2:4-fc:256-Momentum,1_epoch,12,1,4,256,0.276,93.56,164.984,97.95
234,filter:6-conv1:8-conv2:32-fc:64-Momentum,1_epoch,6,8,32,64,0.29,97.36,165.274,97.95
